Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2017-03-17 15:57,1,0,0,1,0,3,11,3,1,2,0,2,,,
2017-03-17 16:05,2,0,1,1,0,1,2,1,0,1,0,0,,,
2017-03-17 16:07,3,0,2,1,1,1,5,0,0,0,0,0,#22 Paul Simpson,Tigger,#22 Paul Simpson
2017-03-17 16:10,4,1,2,0,0,1,1,1,1,0,0,1,,,
2017-03-17 16:12,5,1,3,1,1,1,2,0,0,0,0,0,Cecilia Wu,Tigger,#69 Justin Chen
2017-03-17 16:15,6,2,3,0,0,1,4,1,1,0,1,0,,,
2017-03-17 16:18,7,2,4,1,1,4,4,3,2,1,3,0,,Tigger,#27 Daniel Zhang
2017-03-17 16:22,8,3,4,0,1,4,9,3,3,0,1,3,Joyce Wang,#27 Daniel Zhang,#22 Paul Simpson
2017-03-17 16:27,9,4,4,0,1,2,7,1,1,0,1,1,#22 Paul Simpson,Tigger,#19 Ben Wang
2017-03-17 16:32,10,5,4,0,1,2,3,1,1,0,2,0,,Tigger,#22 Paul Simpson
2017-03-17 16:36,11,6,4,0,1,1,1,0,0,0,1,0,,Tigger,#27 Daniel Zhang
2017-03-17 16:39,12,7,4,0,1,1,5,0,0,0,0,1,Peter,Tigger,#22 Paul Simpson
2017-03-17 16:47,13,8,4,0,0,0,0,0,0,0,0,0,,,
2017-03-17 16:50,14,8,5,1,0,4,10,4,2,2,0,3,,,
2017-03-17 16:58,15,8,6,1,1,1,5,0,0,0,0,0,Tigger,#22 Paul Simpson,#27 Daniel Zhang
2017-03-17 17:00,16,9,6,0,0,4,9,4,4,0,1,3,,,
2017-03-17 17:08,17,9,7,1,1,3,8,2,0,2,0,2,,#22 Paul Simpson,#27 Daniel Zhang
2017-03-17 17:12,18,10,7,0,1,5,10,4,4,0,4,1,Joyce Wang,Tigger,#22 Paul Simpson
2017-03-17 17:18,19,11,7,0,1,1,4,0,0,0,0,1,Tigger,#27 Daniel Zhang,#19 Ben Wang
2017-03-17 17:21,20,12,7,0,1,1,2,1,1,0,2,0,,,
2017-03-17 17:25,21,13,7,0,0,0,0,0,0,0,0,0,,,
