Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2017-05-21 09:09,2,#55 Tigger Li,0,0,0,0,0.489933,0.689356
2017-05-21 09:10,2,#19 Ben Wang,0,0,0,0,0.479866,0.44802
2017-05-21 09:12,2,#55 Tigger Li,0,0,0,0,0.275168,0.488861
2017-05-21 09:17,3,#2 Jamie Chen,0,0,0,0,0.634228,0.492574
2017-05-21 09:25,5,#27 Daniel Zhang,0,0,0,0,0.137584,0.496287
2017-05-21 09:26,5,#41 Billy Ni,0,0,0,0,0.204698,0.475248
2017-05-21 09:31,6,#22 Paul Simpson,0,0,0,0,0.489933,0.784653
2017-05-21 09:32,6,#22 Paul Simpson,0,0,0,0,0.493289,0.602723
2017-05-21 09:37,7,#55 Tigger Li,0,0,0,0,0.52349,0.634901
2017-05-21 09:39,7,#2 Jamie Chen,0,0,0,0,0.530201,0.497525
2017-05-21 09:39,7,#41 Billy Ni,0,0,0,0,0.38255,0.403465
2017-05-21 09:40,7,#2 Jamie Chen,0,0,0,0,0.161074,0.571782
2017-05-21 09:41,7,#55 Tigger Li,0,0,0,0,0.187919,0.538366
2017-05-21 09:46,8,#22 Paul Simpson,0,0,0,0,0.513423,0.72401
2017-05-21 09:47,8,#22 Paul Simpson,0,0,0,0,0.469799,0.787129
2017-05-21 09:54,8,#22 Paul Simpson,0,0,0,0,0.161074,0.532178
2017-05-21 09:55,8,#22 Paul Simpson,0,0,0,0,0.241611,0.492574
2017-05-21 09:59,9,#41 Billy Ni,0,0,0,0,0.352349,0.486386
2017-05-21 09:59,9,#55 Tigger Li,1,0,0,0,0.600671,0.938119
