Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2017-05-21 16:10,3,#22 Paul Simpson,0,0,0,0,0.456376,0.5
2017-05-21 16:11,3,#22 Paul Simpson,0,0,0,0,0.278524,0.684406
2017-05-21 16:13,3,#22 Paul Simpson,1,0,0,0,0.439597,0.830446
2017-05-21 16:15,3,#27 Daniel Zhang,0,0,0,0,0.181208,0.774752
2017-05-21 16:16,3,#41 Billy Ni,0,0,0,0,0.802013,0.570545
2017-05-21 16:21,4,#14 Cecilia Wu,0,0,0,0,0.66443,0.225248
2017-05-21 16:24,5,#22 Paul Simpson,0,0,0,0,0.483221,0.72896
2017-05-21 16:24,5,#22 Paul Simpson,1,0,0,0,0.557047,0.970297
2017-05-21 16:25,5,#14 Cecilia Wu,0,0,0,0,0.781879,0.813119
2017-05-21 16:33,7,#27 Daniel Zhang,0,0,0,0,0.248322,0.745049
2017-05-21 16:38,7,#2 Jamie Chen,1,0,0,0,0.755034,0.82797
2017-05-21 16:43,8,#22 Paul Simpson,0,0,0,0,0.466443,0.512376
2017-05-21 16:44,8,#22 Paul Simpson,0,0,0,0,0.161074,0.34901
2017-05-21 16:46,8,#22 Paul Simpson,0,0,0,0,0.244966,0.627475
2017-05-21 16:47,8,#22 Paul Simpson,0,0,0,0,0.442953,0.705446
2017-05-21 16:48,8,#14 Cecilia Wu,0,0,0,0,0.761745,0.568069
2017-05-21 17:00,9,#25 Alex Chen,0,0,0,0,0.597315,0.462871
