Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2017-05-12 15:44,1,#1 Joyce Wang,1,0,0,0,0.661074,0.92203
2017-05-12 15:47,2,#1 Joyce Wang,0,0,0,0,0.261745,0.285891
2017-05-12 15:58,7,#22 Paul Simpson,0,0,0,0,0.238255,0.529703
2017-05-12 16:00,8,#14 Cecilia Wu,0,0,0,0,0.167785,0.268564
2017-05-12 16:02,9,#19 Ben Wang,0,0,0,0,0.503356,0.365099
2017-05-12 16:09,11,#27 Daniel Zhang,1,0,0,0,0.64094,0.928218
2017-05-12 16:13,12,#14 Cecilia Wu,0,0,0,0,0.805369,0.235149
2017-05-12 16:14,12,#1 Joyce Wang,0,0,0,0,0.375839,0.27104
2017-05-12 16:15,13,#69 Justin Chen,0,0,0,0,0.741611,0.236386
2017-05-12 16:20,16,#19 Ben Wang,0,0,0,0,0.167785,0.313119
2017-05-12 16:22,17,#22 Paul Simpson,0,0,0,0,0.802013,0.678218
