Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2017-05-20 15:03,1,#22 Paul Simpson,0,0,0,0,0.288591,0.502475
2017-05-20 15:06,2,#55 Tigger Li,0,0,0,0,0.597315,0.568069
2017-05-20 15:08,2,#1 Joyce Wang,0,0,0,0,0.234899,0.461634
2017-05-20 15:09,2,#55 Tigger Li,0,0,0,0,0.711409,0.493812
2017-05-20 15:09,2,#69 Justin Chen,0,0,0,0,0.580537,0.232673
2017-05-20 15:11,3,#7 Cici Qiu,0,0,0,0,0.731544,0.477723
2017-05-20 15:12,3,#27 Daniel Zhang,0,0,0,0,0.312081,0.215347
2017-05-20 15:13,3,#22 Paul Simpson,0,0,0,0,0.177852,0.433168
2017-05-20 15:14,3,#22 Paul Simpson,0,0,0,0,0.402685,0.441832
2017-05-20 15:18,4,#55 Tigger Li,0,0,0,0,0.711409,0.555693
2017-05-20 15:19,4,#55 Tigger Li,0,0,0,0,0.214765,0.607673
2017-05-20 15:21,4,#69 Justin Chen,0,0,0,0,0.604027,0.455446
2017-05-20 15:24,5,Oscar Yao,0,0,0,0,0.493289,0.496287
2017-05-20 15:32,7,#39 David Xiao,0,0,0,0,0.513423,0.342822
2017-05-20 15:34,7,#14 Cecilia Wu,0,0,0,0,0.5,0.251238
2017-05-20 15:46,11,#22 Paul Simpson,0,0,0,0,0.130872,0.277228
2017-05-20 15:48,12,#1 Joyce Wang,0,0,0,0,0.530201,0.756188
