Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2017-04-08 10:06,3,#27 Daniel Zhang,0,0,0,0,0.466443,0.813119
2017-04-08 10:10,4,Oscar Yao,0,0,0,0,0.926175,0.561881
2017-04-08 10:11,4,#1 Joyce Wang,1,0,0,0,0.0805369,0.846535
2017-04-08 10:18,7,#19 Ben Wang,0,0,0,0,0.275168,0.642327
2017-04-08 10:20,7,#27 Daniel Zhang,0,0,0,0,0.221477,0.356436
2017-04-08 10:22,8,#66 Jerry Chen,0,0,0,0,0.845638,0.357673
2017-04-08 10:30,10,#30 Jimmy Peng,0,0,0,0,0.533557,0.420792
2017-04-08 10:33,11,#66 Jerry Chen,0,0,0,0,0.755034,0.42203
2017-04-08 10:35,12,#30 Jimmy Peng,0,0,0,0,0.0838926,0.725248
2017-04-08 10:37,13,#30 Jimmy Peng,0,0,0,0,0.325503,0.266089
2017-04-08 10:38,13,#27 Daniel Zhang,0,0,0,0,0.144295,0.449257
2017-04-08 10:41,14,#1 Joyce Wang,0,0,0,0,0.526846,0.483911
2017-04-08 10:41,14,#1 Joyce Wang,0,0,0,0,0.587248,0.335396
