Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2017-05-09 16:28,1,#22 Paul Simpson,0,0,0,0,0.802013,0.292079
2017-05-09 16:35,2,#19 Ben Wang,0,0,0,0,0.0536913,0.355198
2017-05-09 16:36,2,#22 Paul Simpson,0,0,0,0,0.671141,0.464109
2017-05-09 16:40,3,Theresa Zhang,0,0,0,0,0.526846,0.235149
2017-05-09 16:54,6,#55 Tigger Li,0,0,0,0,0.489933,0.683168
2017-05-09 16:54,6,#19 Ben Wang,0,0,0,0,0.845638,0.310644
2017-05-09 16:56,6,#22 Paul Simpson,1,0,0,0,0.560403,0.914604
2017-05-09 16:59,7,#22 Paul Simpson,0,0,0,0,0.0369128,0.805693
2017-05-09 17:02,8,#1 Joyce Wang,0,1,0,1,0.513423,0.0693069
2017-05-09 17:04,9,#22 Paul Simpson,0,0,0,0,0.52349,0.804455
2017-05-09 17:07,10,#1 Joyce Wang,0,0,0,0,0.503356,0.542079
2017-05-09 17:08,10,#55 Tigger Li,1,0,0,0,0.439597,0.831683
2017-05-09 17:10,11,#69 Justin Chen,0,0,0,0,0.120805,0.595297
2017-05-09 17:18,13,#1 Joyce Wang,0,0,0,0,0.0637584,0.295792
2017-05-09 17:19,13,#76 Jack Xia,0,0,0,0,0.0302013,0.375
