Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2017-03-24 16:16,1,#22 Paul Simpson,0,0,0,0,0.815436,0.582921
2017-03-24 16:20,2,#1 Joyce Wang,0,0,0,0,0.469799,0.273515
2017-03-24 16:21,2,#19 Ben Wang,0,0,0,0,0.614094,0.256188
2017-03-24 16:23,2,#1 Joyce Wang,0,0,0,0,0.553691,0.279703
2017-03-24 16:27,3,#29 Tony Wu,0,0,0,0,0.751678,0.378713
2017-03-24 16:29,3,#22 Paul Simpson,0,0,0,0,0.674497,0.219059
2017-03-24 16:31,3,#41 Billy Ni,0,0,0,0,0.114094,0.340347
2017-03-24 16:32,3,#29 Tony Wu,0,0,0,0,0.0805369,0.425743
2017-03-24 16:32,3,#27 Daniel Zhang,0,0,0,0,0.520134,0.779703
2017-03-24 16:35,4,#22 Paul Simpson,1,0,0,0,0.442953,0.899752
2017-03-24 16:35,4,#22 Paul Simpson,0,0,0,0,0.728188,0.777228
2017-03-24 16:37,4,#22 Paul Simpson,0,0,0,0,0.95302,0.815594
2017-03-24 16:38,4,#1 Joyce Wang,0,0,0,0,0.926175,0.714109
2017-03-24 16:39,4,#1 Joyce Wang,0,0,0,0,0.114094,0.397277
2017-03-24 16:48,6,#14 Cecilia Wu,0,0,0,0,0.748322,0.350248
2017-03-24 16:50,6,#22 Paul Simpson,0,0,0,0,0.560403,0.756188
2017-03-24 16:51,6,#55 Tigger Li,0,0,0,0,0.5,0.316832
2017-03-24 16:56,7,#27 Daniel Zhang,1,0,0,0,0.57047,0.845297
2017-03-24 16:57,7,#66 Jerry Chen,0,0,0,0,0.758389,0.55198
2017-03-24 17:00,8,#55 Tigger Li,0,0,0,0,0.0738255,0.365099
2017-03-24 17:01,8,#14 Cecilia Wu,0,0,0,0,0.328859,0.417079
2017-03-24 17:09,9,#1 Joyce Wang,0,0,0,0,0.543624,0.667079
2017-03-24 17:10,9,#19 Ben Wang,0,0,0,0,0.486577,0.709158
2017-03-24 17:14,10,#19 Ben Wang,0,0,0,0,0.506711,0.482673
2017-03-24 17:15,10,#27 Daniel Zhang,1,0,0,0,0.201342,0.82302
2017-03-24 17:17,10,#14 Cecilia Wu,1,0,0,0,0.124161,0.835396
2017-03-24 17:19,10,#22 Paul Simpson,0,0,0,0,0.328859,0.289604
2017-03-24 17:24,11,#1 Joyce Wang,0,0,0,0,0.456376,0.40099
2017-03-24 17:29,12,#22 Paul Simpson,0,0,0,0,0.271812,0.714109
2017-03-24 17:31,13,#14 Cecilia Wu,0,0,0,0,0.661074,0.334158
2017-03-24 17:34,14,#1 Joyce Wang,0,0,0,0,0.815436,0.289604
2017-03-24 17:38,15,#36 Jason Ling,0,0,0,0,0.355705,0.730198
2017-03-24 17:40,16,#22 Paul Simpson,1,0,0,0,0.983221,0.889852
