Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck? (> 40m),Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2017-05-21 09:05,1,1,#27 Daniel Zhang,#1 Joyce Wang,1,1,0,1,0,0,0,0,0,0,0,17.4147,16.9554,-3.97315,0.161074,0.273515,0.268456,0.10396
2017-05-21 09:06,1,2,#27 Daniel Zhang,#2 Jamie Chen,0,0,0,1,1,0,0,0,0,1,0,13.1837,10.5198,-7.94631,0.120805,0.220297,0.33557,0.115099
2017-05-21 09:08,2,1,#27 Daniel Zhang,#19 Ben Wang,0,0,0,0,0,0,0,0,0,1,0,24.9805,20.6683,-14.0302,0.0771812,0.747525,0.456376,0.540842
2017-05-21 09:08,2,1,#19 Ben Wang,#27 Daniel Zhang,0,0,0,0,0,0,0,0,1,0,0,11.4294,-11.3861,-0.993288,0.456376,0.540842,0.483221,0.654703
2017-05-21 09:08,2,1,#27 Daniel Zhang,#41 Billy Ni,1,1,0,0,0,0,0,0,0,0,1,31.0704,27.8465,13.7819,0.483221,0.654703,0.110738,0.376238
2017-05-21 09:09,2,2,#55 Tigger Li,#27 Daniel Zhang,0,0,0,0,0,0,0,0,0,0,0,13.0634,10.2723,-8.07047,0.516779,0.654703,0.734899,0.55198
2017-05-21 09:09,2,2,#27 Daniel Zhang,#55 Tigger Li,0,0,0,0,0,0,0,0,0,0,0,7.10987,1.48515,6.95302,0.734899,0.55198,0.54698,0.537129
2017-05-21 09:09,2,2,#55 Tigger Li,#41 Billy Ni,0,0,0,0,0,0,0,0,1,0,0,10.5683,-6.18812,8.56711,0.54698,0.537129,0.315436,0.59901
2017-05-21 09:09,2,2,#41 Billy Ni,#55 Tigger Li,0,0,0,0,0,0,0,0,0,0,0,9.76065,9.5297,2.11074,0.315436,0.59901,0.258389,0.503713
2017-05-21 09:09,2,2,#55 Tigger Li,#19 Ben Wang,1,0,1,0,0,0,0,0,0,0,0,35.8339,28.5891,-21.604,0.258389,0.503713,0.842282,0.217822
2017-05-21 09:10,2,3,#27 Daniel Zhang,#41 Billy Ni,1,1,0,0,0,0,0,0,0,0,0,14.5135,13.1188,6.20805,0.479866,0.497525,0.312081,0.366337
2017-05-21 09:10,2,4,#27 Daniel Zhang,#55 Tigger Li,0,0,0,0,0,0,0,0,0,1,1,8.79064,8.78713,-0.248322,0.100671,0.439356,0.107383,0.351485
2017-05-21 09:10,2,4,#55 Tigger Li,#27 Daniel Zhang,0,0,0,0,0,0,0,0,1,1,0,13.944,-8.66337,-10.9262,0.107383,0.351485,0.402685,0.438119
2017-05-21 09:10,2,4,#27 Daniel Zhang,#55 Tigger Li,1,0,1,0,0,0,0,0,0,0,0,16.8951,14.9752,-7.82215,0.402685,0.438119,0.614094,0.288366
2017-05-21 09:12,2,5,#27 Daniel Zhang,#41 Billy Ni,0,0,0,0,0,0,0,1,0,1,0,12.3659,3.71287,-11.7953,0.0704698,0.481436,0.389262,0.444307
2017-05-21 09:12,2,5,#41 Billy Ni,#27 Daniel Zhang,0,0,0,0,0,0,0,0,0,0,1,12.2972,6.31188,10.5537,0.389262,0.444307,0.104027,0.381188
2017-05-21 09:12,2,5,#27 Daniel Zhang,,1,1,0,0,0,0,0,0,0,1,0,16.5243,16.3366,-2.48322,0.104027,0.381188,0.171141,0.217822
2017-05-21 09:12,2,6,#55 Tigger Li,#27 Daniel Zhang,0,0,0,0,0,0,0,0,0,0,1,6.97062,-0.495046,6.95302,0.265101,0.501238,0.0771812,0.506188
2017-05-21 09:12,2,6,#27 Daniel Zhang,#14 Cecilia Wu,1,1,0,0,0,0,0,1,0,1,0,13.1872,3.21782,-12.7886,0.0771812,0.506188,0.422819,0.47401
2017-05-21 09:16,3,1,#22 Paul Simpson,#2 Jamie Chen,0,0,0,0,0,0,0,0,0,0,0,11.2264,1.9802,-11.0503,0.224832,0.503713,0.52349,0.483911
2017-05-21 09:16,3,1,#2 Jamie Chen,#55 Tigger Li,0,0,0,0,0,0,0,0,1,0,0,11.4223,-3.71287,-10.802,0.52349,0.483911,0.815436,0.52104
2017-05-21 09:16,3,1,#55 Tigger Li,#22 Paul Simpson,1,1,0,0,0,0,0,0,0,0,0,36.0457,26.3614,24.5839,0.815436,0.52104,0.151007,0.257426
2017-05-21 09:17,3,2,#22 Paul Simpson,#2 Jamie Chen,0,0,0,1,1,0,0,0,0,0,0,26.4776,25.3713,-7.57383,0.536913,0.336634,0.741611,0.0829208
2017-05-21 09:20,4,1,#27 Daniel Zhang,Oscar Yao,0,0,0,0,0,0,0,1,0,0,0,12.8872,2.9703,-12.5403,0.315436,0.582921,0.654362,0.553218
2017-05-21 09:20,4,1,Oscar Yao,#27 Daniel Zhang,0,0,0,0,0,0,0,0,0,0,0,9.06027,6.93069,5.83557,0.654362,0.553218,0.496644,0.483911
2017-05-21 09:20,4,1,#27 Daniel Zhang,#22 Paul Simpson,0,0,0,0,0,0,0,0,0,0,0,9.21993,5.07426,-7.69799,0.496644,0.483911,0.704698,0.433168
2017-05-21 09:21,4,1,#22 Paul Simpson,Oscar Yao,0,0,0,0,0,0,0,0,0,0,0,10.695,1.73267,10.5537,0.704698,0.433168,0.419463,0.415842
2017-05-21 09:21,4,1,Oscar Yao,,1,1,0,0,0,0,0,0,0,0,0,9.18875,-0.123763,9.18792,0.419463,0.415842,0.171141,0.417079
2017-05-21 09:21,4,2,#22 Paul Simpson,#27 Daniel Zhang,0,0,0,0,0,0,0,0,0,0,0,8.67137,8.66337,-0.372483,0.187919,0.821782,0.197987,0.735148
2017-05-21 09:21,4,2,#27 Daniel Zhang,#22 Paul Simpson,0,0,0,0,0,0,0,0,0,0,0,6.81711,6.80693,0.372483,0.197987,0.735148,0.187919,0.667079
2017-05-21 09:21,4,2,#22 Paul Simpson,Oscar Yao,1,0,1,0,0,0,0,0,0,0,0,8.30044,8.29208,0.372483,0.187919,0.667079,0.177852,0.584158
2017-05-21 09:22,4,3,#1 Joyce Wang,#22 Paul Simpson,0,0,0,0,0,0,0,0,0,0,0,17.7158,17.5743,2.2349,0.781879,0.717822,0.721476,0.542079
2017-05-21 09:22,4,3,#22 Paul Simpson,#27 Daniel Zhang,0,0,0,0,0,0,0,0,0,0,0,8.1433,6.80693,-4.4698,0.721476,0.542079,0.842282,0.47401
2017-05-21 09:22,4,3,#27 Daniel Zhang,#22 Paul Simpson,0,0,0,0,0,0,0,0,0,0,0,7.36923,7.30198,0.993288,0.842282,0.47401,0.815436,0.40099
2017-05-21 09:23,4,3,#22 Paul Simpson,#27 Daniel Zhang,0,0,0,0,0,0,0,0,0,0,1,8.91255,8.78713,-1.48993,0.815436,0.40099,0.855705,0.313119
2017-05-21 09:23,4,3,#27 Daniel Zhang,#22 Paul Simpson,0,0,0,0,0,0,0,0,0,1,0,9.00889,8.78713,1.98658,0.855705,0.313119,0.802013,0.225248
2017-05-21 09:23,4,3,#22 Paul Simpson,#27 Daniel Zhang,1,0,1,1,0,0,0,0,0,0,0,13.3128,13.2426,-1.36577,0.802013,0.225248,0.838926,0.0928218
2017-05-21 09:23,4,4,#27 Daniel Zhang,Oscar Yao,0,0,0,1,1,0,0,0,0,1,0,11.6823,11.2624,-3.10403,0.14094,0.207921,0.224832,0.095297
2017-05-21 09:26,5,1,#27 Daniel Zhang,#55 Tigger Li,1,1,0,0,0,0,0,0,0,0,1,19.9215,19.6782,3.10403,0.184564,0.539604,0.100671,0.342822
2017-05-21 09:26,5,2,#27 Daniel Zhang,#55 Tigger Li,0,0,0,0,0,0,0,0,0,0,0,17.619,12.3762,-12.5403,0.208054,0.47401,0.54698,0.350248
2017-05-21 09:27,5,2,#55 Tigger Li,#27 Daniel Zhang,0,0,0,0,0,1,0,0,0,0,0,14.7243,13.8614,-4.96644,0.54698,0.350248,0.681208,0.211634
2017-05-21 09:27,5,2,#27 Daniel Zhang,#55 Tigger Li,0,0,0,1,1,0,0,0,0,0,0,11.8023,10.396,-5.58725,0.681208,0.211634,0.832215,0.107673
2017-05-21 09:30,6,1,#22 Paul Simpson,#27 Daniel Zhang,0,0,0,0,0,0,0,0,0,1,1,11.6059,11.5099,1.48993,0.895973,0.803218,0.855705,0.688119
2017-05-21 09:30,6,1,#27 Daniel Zhang,#22 Paul Simpson,0,0,0,0,0,0,0,0,0,1,1,10.3329,10.2723,-1.11745,0.855705,0.688119,0.885906,0.585396
2017-05-21 09:30,6,1,#22 Paul Simpson,#27 Daniel Zhang,0,0,0,0,0,0,0,0,1,1,0,9.2044,-6.43564,6.58054,0.885906,0.585396,0.708054,0.649752
2017-05-21 09:30,6,1,#27 Daniel Zhang,#19 Ben Wang,0,0,0,0,0,0,0,0,0,0,1,12.9096,11.3861,-6.08389,0.708054,0.649752,0.872483,0.535891
2017-05-21 09:30,6,1,#19 Ben Wang,#22 Paul Simpson,0,0,0,0,0,0,0,0,1,1,0,9.9691,-8.91089,4.4698,0.872483,0.535891,0.751678,0.625
2017-05-21 09:31,6,1,#22 Paul Simpson,#27 Daniel Zhang,0,0,0,0,0,0,0,0,0,0,0,11.5723,8.04455,8.31879,0.751678,0.625,0.526846,0.544554
2017-05-21 09:31,6,1,#27 Daniel Zhang,#22 Paul Simpson,0,0,0,0,0,0,0,0,1,0,0,10.7984,-1.60891,10.6779,0.526846,0.544554,0.238255,0.560644
2017-05-21 09:31,6,1,#22 Paul Simpson,#19 Ben Wang,0,0,0,0,0,0,0,0,0,0,0,12.1516,12.1287,-0.744966,0.238255,0.560644,0.258389,0.439356
2017-05-21 09:31,6,1,#19 Ben Wang,#22 Paul Simpson,0,0,0,0,0,0,0,0,1,0,1,10.2411,-8.41584,5.83557,0.258389,0.439356,0.100671,0.523515
2017-05-21 09:31,6,1,#22 Paul Simpson,#27 Daniel Zhang,0,0,0,0,0,0,0,0,1,1,0,9.13126,-8.78713,-2.48322,0.100671,0.523515,0.167785,0.611386
2017-05-21 09:31,6,1,#27 Daniel Zhang,#19 Ben Wang,1,0,1,0,0,0,0,0,0,0,0,14.3807,9.90099,-10.4295,0.167785,0.611386,0.449664,0.512376
2017-05-21 09:31,6,2,#22 Paul Simpson,#27 Daniel Zhang,0,0,0,0,0,0,0,0,0,0,0,8.42185,7.42574,-3.97315,0.734899,0.772277,0.842282,0.69802
2017-05-21 09:31,6,2,#27 Daniel Zhang,#22 Paul Simpson,0,0,0,0,0,0,0,0,0,0,0,10.4712,1.85643,10.3054,0.842282,0.69802,0.563758,0.679455
2017-05-21 09:32,6,2,#22 Paul Simpson,#27 Daniel Zhang,0,0,0,0,0,0,0,0,0,0,0,10.52,3.46535,9.93289,0.563758,0.679455,0.295302,0.644802
2017-05-21 09:32,6,2,#27 Daniel Zhang,#19 Ben Wang,1,0,1,0,0,0,0,1,0,0,0,14.6809,7.42574,-12.6644,0.295302,0.644802,0.637584,0.570545
2017-05-21 09:32,6,3,#27 Daniel Zhang,#19 Ben Wang,1,1,0,0,0,0,0,0,0,0,0,10.8023,10.7673,0.869127,0.255034,0.581683,0.231544,0.47401
2017-05-21 09:32,6,4,#22 Paul Simpson,#27 Daniel Zhang,0,0,0,0,0,0,0,0,0,0,0,10.2076,9.90099,-2.48322,0.503356,0.590347,0.57047,0.491337
2017-05-21 09:32,6,4,#27 Daniel Zhang,#22 Paul Simpson,0,0,0,0,0,0,0,0,1,0,0,9.8197,-3.46535,9.18792,0.57047,0.491337,0.322148,0.52599
2017-05-21 09:33,6,4,#22 Paul Simpson,#19 Ben Wang,1,1,0,0,0,0,0,0,0,0,0,12.7748,7.54951,-10.3054,0.322148,0.52599,0.600671,0.450495
2017-05-21 09:34,6,5,#22 Paul Simpson,#19 Ben Wang,0,0,0,0,0,0,0,1,0,1,0,15.3716,-5.69307,14.2785,0.875839,0.496287,0.489933,0.553218
2017-05-21 09:34,6,5,#19 Ben Wang,#27 Daniel Zhang,0,0,0,0,0,0,0,0,1,0,0,8.43049,-1.9802,-8.19463,0.489933,0.553218,0.711409,0.57302
2017-05-21 09:34,6,5,#27 Daniel Zhang,#22 Paul Simpson,0,0,0,0,0,0,0,0,1,0,0,9.45412,-8.04455,-4.96644,0.711409,0.57302,0.845638,0.653465
2017-05-21 09:34,6,5,#22 Paul Simpson,Oscar Yao,0,0,0,0,0,0,0,0,0,0,0,16.4721,16.4604,0.620806,0.845638,0.653465,0.828859,0.488861
2017-05-21 09:34,6,5,Oscar Yao,#22 Paul Simpson,0,0,0,0,0,0,0,0,1,0,0,10.5227,-10.5198,-0.248323,0.828859,0.488861,0.83557,0.594059
2017-05-21 09:34,6,5,#22 Paul Simpson,#27 Daniel Zhang,0,0,0,0,0,0,0,0,0,0,0,17.2034,17.203,-0.124162,0.83557,0.594059,0.838926,0.42203
2017-05-21 09:34,6,5,#27 Daniel Zhang,#22 Paul Simpson,0,0,0,0,0,1,0,0,0,0,1,9.19956,9.15841,-0.869126,0.838926,0.42203,0.862416,0.330446
2017-05-21 09:34,6,5,#22 Paul Simpson,Oscar Yao,0,0,0,1,1,0,0,0,0,1,0,26.2061,23.7624,11.0503,0.862416,0.330446,0.563758,0.0928218
2017-05-21 09:37,7,1,#55 Tigger Li,#41 Billy Ni,0,0,0,0,0,0,0,0,0,0,0,11.6051,4.82673,-10.5537,0.52349,0.533416,0.808725,0.485149
2017-05-21 09:37,7,1,#41 Billy Ni,#55 Tigger Li,0,0,0,0,0,0,0,0,0,0,0,8.8579,0.866336,8.81544,0.808725,0.485149,0.57047,0.476485
2017-05-21 09:37,7,1,#55 Tigger Li,#2 Jamie Chen,1,1,0,0,0,0,0,0,0,0,0,23.8861,23.8861,0.0,0.57047,0.476485,0.57047,0.237624
2017-05-21 09:38,7,2,#55 Tigger Li,#14 Cecilia Wu,1,0,1,0,0,0,0,0,1,0,0,8.53396,-4.57921,-7.20134,0.171141,0.446782,0.365772,0.492574
2017-05-21 09:39,7,3,#55 Tigger Li,#2 Jamie Chen,1,1,0,0,0,0,0,0,0,0,0,15.4941,15.099,-3.47651,0.510067,0.509901,0.604027,0.358911
2017-05-21 09:39,7,4,#55 Tigger Li,#2 Jamie Chen,1,1,0,0,0,0,0,0,0,0,0,22.821,22.7723,1.48993,0.268456,0.476485,0.228188,0.248762
2017-05-21 09:41,7,5,#55 Tigger Li,#2 Jamie Chen,1,1,0,0,0,0,0,0,0,1,0,39.1932,37.0049,-12.9128,0.144295,0.568069,0.493289,0.19802
2017-05-21 09:41,7,6,#55 Tigger Li,#30 Jimmy Peng,1,1,0,1,0,0,1,0,0,0,0,48.3128,47.896,-6.33221,0.187919,0.538366,0.35906,0.0594059
2017-05-21 09:42,7,7,#14 Cecilia Wu,#55 Tigger Li,1,0,1,1,0,0,0,0,0,0,0,14.1138,14.1089,0.372483,0.204698,0.25,0.194631,0.108911
2017-05-21 09:43,7,8,#55 Tigger Li,#2 Jamie Chen,0,0,0,1,1,0,0,0,0,0,0,20.8013,20.7921,0.620806,0.171141,0.293317,0.154362,0.085396
2017-05-21 09:46,8,1,#22 Paul Simpson,#27 Daniel Zhang,0,0,0,0,0,0,0,0,0,0,0,11.8234,5.56931,-10.4295,0.489933,0.759901,0.771812,0.704208
2017-05-21 09:46,8,1,#27 Daniel Zhang,#22 Paul Simpson,0,0,0,0,0,0,0,0,0,0,0,8.45745,0.495046,8.44295,0.771812,0.704208,0.543624,0.699257
2017-05-21 09:46,8,1,#22 Paul Simpson,#27 Daniel Zhang,0,0,0,0,0,0,0,1,0,0,1,12.5793,0.990099,-12.5403,0.543624,0.699257,0.88255,0.689356
2017-05-21 09:46,8,1,#27 Daniel Zhang,#22 Paul Simpson,0,0,0,0,0,0,0,0,0,1,1,12.1344,12.1287,0.372485,0.88255,0.689356,0.872483,0.568069
2017-05-21 09:46,8,1,#22 Paul Simpson,#52 Emily Zhang,0,0,0,0,0,0,0,0,0,1,0,17.7076,12.3762,12.6644,0.872483,0.568069,0.530201,0.444307
2017-05-21 09:46,8,1,#52 Emily Zhang,#27 Daniel Zhang,0,0,0,0,0,0,0,0,1,0,0,9.02974,-8.16832,-3.84899,0.530201,0.444307,0.634228,0.52599
2017-05-21 09:47,8,1,#27 Daniel Zhang,Oscar Yao,0,0,0,0,0,0,0,0,0,0,0,12.3818,12.3762,0.372483,0.634228,0.52599,0.624161,0.402228
2017-05-21 09:47,8,1,Oscar Yao,#27 Daniel Zhang,1,1,0,0,0,0,0,0,0,0,0,7.71389,0.495049,7.69799,0.624161,0.402228,0.416107,0.397277
2017-05-21 09:48,8,2,#22 Paul Simpson,Oscar Yao,1,1,0,0,0,0,0,0,0,0,0,15.9658,15.9653,0.12416,0.520134,0.783416,0.516779,0.623762
2017-05-21 09:48,8,3,#22 Paul Simpson,#27 Daniel Zhang,0,0,0,0,0,0,0,0,0,0,1,12.7316,7.30198,-10.4295,0.667785,0.780941,0.949664,0.707921
2017-05-21 09:48,8,3,#27 Daniel Zhang,#22 Paul Simpson,0,0,0,0,0,0,0,0,0,1,0,7.59906,0.618809,7.57382,0.949664,0.707921,0.744966,0.701733
2017-05-21 09:49,8,3,#22 Paul Simpson,#27 Daniel Zhang,0,0,0,0,0,0,0,0,0,0,0,10.7441,5.56931,9.18792,0.744966,0.701733,0.496644,0.64604
2017-05-21 09:49,8,3,#27 Daniel Zhang,Oscar Yao,0,0,0,0,0,0,0,0,0,0,0,13.1282,13.1188,0.496644,0.496644,0.64604,0.483221,0.514852
2017-05-21 09:49,8,3,Oscar Yao,#22 Paul Simpson,0,0,0,0,0,0,0,0,1,0,0,10.1214,-5.94059,8.19463,0.483221,0.514852,0.261745,0.574257
2017-05-21 09:49,8,3,#22 Paul Simpson,#52 Emily Zhang,0,0,0,0,0,0,0,0,0,0,0,10.2083,0.742573,-10.1812,0.261745,0.574257,0.536913,0.566832
2017-05-21 09:49,8,3,#52 Emily Zhang,#27 Daniel Zhang,0,0,0,0,0,0,0,1,0,0,1,11.677,0.371289,-11.6711,0.536913,0.566832,0.852349,0.563119
2017-05-21 09:49,8,3,#27 Daniel Zhang,Oscar Yao,0,0,0,0,0,0,0,0,0,1,1,21.4469,21.4109,-1.24161,0.852349,0.563119,0.885906,0.34901
2017-05-21 09:49,8,3,Oscar Yao,#27 Daniel Zhang,0,0,0,0,0,0,0,0,1,1,0,9.17544,-7.5495,5.21477,0.885906,0.34901,0.744966,0.424505
2017-05-21 09:49,8,3,#27 Daniel Zhang,#22 Paul Simpson,0,0,0,0,0,0,0,0,0,0,0,12.942,12.7475,-2.2349,0.744966,0.424505,0.805369,0.29703
2017-05-21 09:49,8,3,#22 Paul Simpson,#27 Daniel Zhang,0,0,0,0,0,0,0,0,0,0,1,9.8697,9.03465,-3.97315,0.805369,0.29703,0.912752,0.206683
2017-05-21 09:49,8,3,#27 Daniel Zhang,#22 Paul Simpson,1,1,0,1,0,0,0,0,0,1,1,12.0075,12.005,0.248323,0.912752,0.206683,0.90604,0.0866337
2017-05-21 09:52,8,4,#28 Tina Zhu,Oscar Yao,1,0,1,0,0,0,0,0,0,1,0,17.2436,10.0248,-14.0302,0.114094,0.5,0.493289,0.399752
2017-05-21 09:53,8,5,#28 Tina Zhu,Oscar Yao,0,0,0,0,0,0,0,0,0,0,0,13.3316,11.1386,-7.3255,0.392617,0.47401,0.590604,0.362624
2017-05-21 09:53,8,5,Oscar Yao,#27 Daniel Zhang,0,0,0,0,0,0,0,0,1,0,0,10.9019,-10.6436,-2.35906,0.590604,0.362624,0.654362,0.469059
2017-05-21 09:53,8,5,#27 Daniel Zhang,#22 Paul Simpson,0,0,0,0,0,0,0,0,0,0,0,11.0312,8.66337,-6.82886,0.654362,0.469059,0.838926,0.382426
2017-05-21 09:53,8,5,#22 Paul Simpson,,1,1,0,0,0,0,0,1,0,0,0,15.4857,3.21782,15.1477,0.838926,0.382426,0.42953,0.350248
2017-05-21 09:54,8,6,#22 Paul Simpson,#27 Daniel Zhang,0,0,0,0,0,0,0,1,0,0,0,12.5899,-2.72277,-12.2919,0.161074,0.532178,0.493289,0.559406
2017-05-21 09:54,8,6,#27 Daniel Zhang,#22 Paul Simpson,0,0,0,0,0,0,0,0,0,0,0,10.4852,8.5396,-6.08389,0.493289,0.559406,0.657718,0.47401
2017-05-21 09:54,8,6,#22 Paul Simpson,Oscar Yao,0,0,0,0,0,0,0,0,0,0,0,10.2076,9.90099,-2.48322,0.657718,0.47401,0.724832,0.375
2017-05-21 09:54,8,6,Oscar Yao,#27 Daniel Zhang,0,0,0,0,0,0,0,0,1,0,0,8.2958,-8.29208,0.248323,0.724832,0.375,0.718121,0.457921
2017-05-21 09:55,8,6,#27 Daniel Zhang,#22 Paul Simpson,0,0,0,0,0,0,0,0,0,0,1,10.1396,8.29208,-5.83557,0.718121,0.457921,0.875839,0.375
2017-05-21 09:55,8,6,#22 Paul Simpson,#27 Daniel Zhang,0,0,0,0,0,0,0,0,0,1,1,13.2117,12.8713,-2.97987,0.875839,0.375,0.956376,0.246287
2017-05-21 09:55,8,6,#27 Daniel Zhang,#52 Emily Zhang,1,0,1,1,0,0,0,0,0,1,0,16.6394,15.8416,5.0906,0.956376,0.246287,0.818792,0.0878713
2017-05-21 09:55,8,7,#22 Paul Simpson,#27 Daniel Zhang,0,0,0,0,0,0,0,0,0,0,1,9.70948,8.41584,4.84228,0.241611,0.492574,0.110738,0.408416
2017-05-21 09:55,8,7,#27 Daniel Zhang,#22 Paul Simpson,0,0,0,0,0,0,0,0,0,1,0,9.97368,8.78713,-4.71812,0.110738,0.408416,0.238255,0.320545
