Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck? (> 40m),Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2017-03-11 13:40,1,1,#22 Paul Simpson,#14 Cecilia Wu,0,0,0,0,0,0,0,0,0,0,0,12.449,6.18812,10.802,0.627517,0.681931,0.33557,0.620049
2017-03-11 13:40,1,1,#14 Cecilia Wu,#1 Joyce Wang,0,0,0,0,0,0,0,1,0,0,0,12.1732,4.20792,-11.4228,0.33557,0.620049,0.644295,0.57797
2017-03-11 13:40,1,1,#1 Joyce Wang,#22 Paul Simpson,0,0,0,0,0,0,0,0,0,0,0,9.76824,4.20792,8.81543,0.644295,0.57797,0.40604,0.535891
2017-03-11 13:40,1,1,#22 Paul Simpson,#1 Joyce Wang,1,1,0,0,0,0,0,0,0,0,0,12.3759,11.6337,4.22148,0.40604,0.535891,0.291946,0.419554
2017-03-11 13:40,1,2,#22 Paul Simpson,#69 Justin Chen,0,0,0,0,0,0,0,0,0,0,0,12.8697,10.0248,-8.07047,0.305369,0.574257,0.52349,0.47401
2017-03-11 13:40,1,2,#69 Justin Chen,#2 Jamie Chen,0,0,0,0,0,1,0,0,0,0,0,23.6106,22.2772,-7.82215,0.52349,0.47401,0.734899,0.251238
2017-03-11 13:41,1,2,#2 Jamie Chen,#19 Ben Wang,0,0,0,1,1,0,0,0,0,0,0,16.0968,16.0891,-0.496643,0.734899,0.251238,0.748322,0.0903465
2017-03-11 13:42,2,1,#69 Justin Chen,#27 Daniel Zhang,0,0,0,0,0,0,0,1,0,0,0,12.1492,2.35149,-11.9195,0.489933,0.44802,0.812081,0.424505
2017-03-11 13:42,2,1,#27 Daniel Zhang,#28 Tina Zhu,0,0,0,0,0,0,0,0,0,0,0,7.31885,7.30198,-0.496643,0.812081,0.424505,0.825503,0.351485
2017-03-11 13:42,2,1,#28 Tina Zhu,#2 Jamie Chen,1,1,0,0,0,0,0,0,0,0,0,15.6683,15.4703,2.48322,0.825503,0.351485,0.758389,0.196782
2017-03-11 13:43,2,2,#28 Tina Zhu,#14 Cecilia Wu,0,0,0,0,0,0,0,1,0,0,1,11.9727,-3.96039,11.2987,0.35906,0.540842,0.0536913,0.580446
2017-03-11 13:44,2,2,#14 Cecilia Wu,#69 Justin Chen,0,0,0,0,0,1,0,0,0,1,1,30.5784,30.5693,0.744967,0.0536913,0.580446,0.033557,0.274752
2017-03-11 13:44,2,2,#69 Justin Chen,#27 Daniel Zhang,0,0,0,1,1,0,0,0,0,1,0,27.6065,22.0297,-16.6376,0.033557,0.274752,0.483221,0.0544554
2017-03-11 13:46,3,1,#22 Paul Simpson,#14 Cecilia Wu,0,0,0,0,0,0,0,0,0,0,0,11.1103,2.59901,10.802,0.479866,0.72896,0.187919,0.70297
2017-03-11 13:46,3,1,#14 Cecilia Wu,#1 Joyce Wang,1,1,0,0,0,0,0,1,0,0,0,21.209,3.83664,-20.8591,0.187919,0.70297,0.751678,0.664604
2017-03-11 13:47,3,2,#22 Paul Simpson,#2 Jamie Chen,0,0,0,0,0,0,0,0,0,0,0,19.9692,11.7574,16.1409,0.66443,0.835396,0.228188,0.717822
2017-03-11 13:47,3,2,#2 Jamie Chen,#22 Paul Simpson,0,0,0,0,0,0,0,0,0,0,1,8.16481,1.23762,8.07047,0.228188,0.717822,0.0100671,0.705446
2017-03-11 13:47,3,2,#22 Paul Simpson,#69 Justin Chen,0,0,0,0,0,0,0,0,0,1,0,9.27754,7.67326,-5.21477,0.0100671,0.705446,0.151007,0.628713
2017-03-11 13:47,3,2,#69 Justin Chen,#1 Joyce Wang,0,0,0,0,0,0,0,0,0,0,0,15.924,10.2723,-12.1678,0.151007,0.628713,0.479866,0.52599
2017-03-11 13:47,3,2,#1 Joyce Wang,#27 Daniel Zhang,0,0,0,0,0,0,0,0,0,0,0,14.3232,9.40594,-10.802,0.479866,0.52599,0.771812,0.431931
2017-03-11 13:47,3,2,#27 Daniel Zhang,#1 Joyce Wang,0,0,0,0,0,0,0,0,0,0,1,10.6944,10.0248,-3.72483,0.771812,0.431931,0.872483,0.331683
2017-03-11 13:47,3,2,#1 Joyce Wang,#2 Jamie Chen,1,1,0,1,0,0,0,0,0,1,0,24.3738,22.0297,10.4295,0.872483,0.331683,0.590604,0.111386
2017-03-11 13:50,4,1,#22 Paul Simpson,#1 Joyce Wang,0,0,0,0,0,0,0,0,0,0,0,10.2563,5.44555,8.69128,0.557047,0.701733,0.322148,0.647277
2017-03-11 13:50,4,1,#1 Joyce Wang,#22 Paul Simpson,0,0,0,0,0,0,0,0,0,0,0,8.00133,7.42574,2.97987,0.322148,0.647277,0.241611,0.57302
2017-03-11 13:50,4,1,#22 Paul Simpson,#66 Jerry Chen,1,1,0,0,0,0,0,0,0,0,0,13.7466,13.7376,0.496644,0.241611,0.57302,0.228188,0.435644
2017-03-11 13:51,4,2,#22 Paul Simpson,#25 Alex Chen,0,0,0,0,0,0,0,0,0,1,0,23.3617,22.7723,-5.21477,0.057047,0.730198,0.197987,0.502475
