Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck? (> 40m),Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2017-05-20 15:02,1,1,#27 Daniel Zhang,#19 Ben Wang,1,1,0,1,0,0,0,0,0,0,1,26.4926,25.495,7.20134,0.328859,0.320545,0.134228,0.0655941
2017-05-20 15:03,1,2,#22 Paul Simpson,#27 Daniel Zhang,0,0,0,0,0,0,0,0,1,0,1,11.1575,-8.41584,7.3255,0.288591,0.502475,0.090604,0.586634
2017-05-20 15:03,1,2,#27 Daniel Zhang,#22 Paul Simpson,0,0,0,0,0,0,0,0,0,1,1,25.5195,25.4951,-1.11745,0.090604,0.586634,0.120805,0.331683
2017-05-20 15:03,1,2,#22 Paul Simpson,#27 Daniel Zhang,0,0,0,0,0,0,0,0,1,1,0,9.91322,-7.30198,-6.7047,0.120805,0.331683,0.302013,0.404703
2017-05-20 15:03,1,2,#27 Daniel Zhang,#22 Paul Simpson,0,0,0,0,0,0,0,0,1,0,0,10.4183,-10.2723,1.73826,0.302013,0.404703,0.255034,0.507426
2017-05-20 15:03,1,2,#22 Paul Simpson,#14 Cecilia Wu,0,0,0,0,0,1,0,0,0,0,0,20.7226,18.8119,-8.69128,0.255034,0.507426,0.489933,0.319307
2017-05-20 15:03,1,2,#14 Cecilia Wu,#1 Joyce Wang,0,0,0,1,1,0,0,0,0,0,0,23.4828,21.0396,-10.4295,0.489933,0.319307,0.771812,0.108911
2017-05-20 15:06,2,1,#55 Tigger Li,#39 David Xiao,1,0,1,0,0,0,0,0,0,0,0,18.397,18.1931,-2.73154,0.724832,0.688119,0.798658,0.506188
2017-05-20 15:07,2,2,#55 Tigger Li,#39 David Xiao,0,0,0,0,0,0,0,0,0,1,1,14.4823,14.4802,-0.248323,0.869128,0.532178,0.875839,0.387376
2017-05-20 15:07,2,2,#39 David Xiao,#69 Justin Chen,1,1,0,0,0,0,0,0,0,1,0,9.17545,7.54951,5.21477,0.875839,0.387376,0.734899,0.311881
2017-05-20 15:08,2,3,#55 Tigger Li,#69 Justin Chen,1,1,0,0,0,0,0,0,0,1,0,27.7987,27.3515,4.96644,0.872483,0.57302,0.738255,0.299505
2017-05-20 15:08,2,4,#55 Tigger Li,#1 Joyce Wang,0,0,0,0,0,0,0,0,1,0,0,14.1139,-10.1485,-9.80872,0.288591,0.42698,0.553691,0.528465
2017-05-20 15:08,2,4,#1 Joyce Wang,#55 Tigger Li,0,0,0,0,0,0,0,0,0,0,0,14.2988,10.5198,-9.68456,0.553691,0.528465,0.815436,0.423267
2017-05-20 15:08,2,4,#55 Tigger Li,#69 Justin Chen,1,1,0,0,0,0,0,0,0,0,0,23.1601,20.4208,10.9262,0.815436,0.423267,0.520134,0.219059
2017-05-20 15:09,2,5,#55 Tigger Li,#11 Momoka Goto,0,0,0,0,0,0,0,0,0,0,1,11.2165,9.65346,-5.71141,0.711409,0.493812,0.865772,0.397277
2017-05-20 15:09,2,5,#11 Momoka Goto,#55 Tigger Li,0,0,0,0,0,0,0,0,1,1,0,8.82403,-3.83663,7.94631,0.865772,0.397277,0.651007,0.435644
2017-05-20 15:09,2,5,#55 Tigger Li,#39 David Xiao,1,0,1,0,0,0,0,0,0,0,0,17.9316,16.9554,-5.83557,0.651007,0.435644,0.808725,0.266089
2017-05-20 15:10,2,6,#55 Tigger Li,#1 Joyce Wang,0,0,0,1,1,0,0,0,0,0,1,19.6399,14.2327,-13.5336,0.563758,0.237624,0.92953,0.095297
2017-05-20 15:12,3,1,#7 Cici Qiu,#22 Paul Simpson,0,0,0,0,0,0,0,0,1,0,0,12.7316,-7.30198,10.4295,0.731544,0.477723,0.449664,0.550743
