Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck? (> 40m),Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2017-05-20 10:03,1,1,#55 Tigger Li,#1 Joyce Wang,0,0,0,0,0,0,0,0,0,0,0,14.7282,14.7277,-0.124162,0.704698,0.45297,0.708054,0.305693
2017-05-20 10:03,1,1,#1 Joyce Wang,#55 Tigger Li,0,0,0,0,0,1,0,0,0,0,1,8.92975,5.44554,-7.07718,0.708054,0.305693,0.899329,0.251238
2017-05-20 10:03,1,1,#55 Tigger Li,#19 Ben Wang,0,0,0,1,1,0,0,0,0,1,0,29.2994,14.7277,25.3289,0.899329,0.251238,0.214765,0.10396
2017-05-20 10:06,2,1,#22 Paul Simpson,#39 David Xiao,1,0,1,1,0,0,0,0,0,1,0,18.4503,17.698,5.21477,0.956376,0.256188,0.815436,0.0792079
2017-05-20 10:07,2,2,#22 Paul Simpson,#14 Cecilia Wu,0,0,0,1,1,0,0,0,0,1,0,17.4051,17.0792,-3.35235,0.104027,0.25,0.194631,0.0792079
2017-05-20 10:11,3,1,#55 Tigger Li,#25 Alex Chen,1,1,0,1,0,0,0,0,0,1,1,28.6419,28.5891,1.73825,0.0704698,0.451733,0.0234899,0.165842
2017-05-20 10:11,3,2,#55 Tigger Li,#66 Jerry Chen,1,1,0,0,0,0,0,1,0,1,0,15.1726,7.54951,-13.1611,0.090604,0.334158,0.446309,0.258663
2017-05-20 10:12,3,3,#55 Tigger Li,#7 Cici Qiu,1,1,0,0,0,0,0,0,0,1,0,36.4489,32.9208,-15.6443,0.107383,0.569307,0.530201,0.240099
2017-05-20 10:13,3,4,#55 Tigger Li,#7 Cici Qiu,1,0,1,1,0,0,1,0,0,0,1,54.3542,47.2772,-26.8188,0.191275,0.584158,0.916107,0.111386
2017-05-20 10:16,3,5,#55 Tigger Li,#69 Justin Chen,0,0,0,0,0,0,0,1,0,1,0,14.2873,-4.5792,-13.5336,0.0872483,0.544554,0.45302,0.590347
2017-05-20 10:16,3,5,#69 Justin Chen,,1,1,0,0,0,0,0,0,0,0,0,18.9133,17.8218,6.33221,0.45302,0.590347,0.281879,0.412129
2017-05-20 10:16,3,6,#55 Tigger Li,#69 Justin Chen,1,0,1,0,0,0,0,1,0,1,0,12.2865,4.82674,-11.2987,0.0637584,0.816832,0.369128,0.768564
2017-05-20 10:22,4,1,#27 Daniel Zhang,#14 Cecilia Wu,0,0,0,0,0,0,0,0,0,0,0,11.2646,5.07426,-10.057,0.244966,0.681931,0.516779,0.631188
2017-05-20 10:22,4,1,#14 Cecilia Wu,#22 Paul Simpson,0,0,0,0,0,0,0,1,0,0,1,13.3823,1.60891,-13.2852,0.516779,0.631188,0.875839,0.615099
2017-05-20 10:22,4,1,#22 Paul Simpson,#14 Cecilia Wu,0,0,0,0,0,0,0,1,0,1,0,12.555,-3.09406,12.1678,0.875839,0.615099,0.54698,0.64604
2017-05-20 10:22,4,1,#14 Cecilia Wu,#27 Daniel Zhang,0,0,0,0,0,0,0,1,0,0,0,15.3988,6.06436,14.1544,0.54698,0.64604,0.16443,0.585396
2017-05-20 10:22,4,1,#27 Daniel Zhang,#14 Cecilia Wu,0,0,0,0,0,0,0,1,0,0,0,15.777,-3.96039,-15.2718,0.16443,0.585396,0.577181,0.625
2017-05-20 10:22,4,1,#14 Cecilia Wu,#22 Paul Simpson,0,0,0,0,0,0,0,1,0,0,1,14.7666,7.79703,-12.5403,0.577181,0.625,0.916107,0.54703
2017-05-20 10:22,4,1,#22 Paul Simpson,#27 Daniel Zhang,0,0,0,0,0,0,0,1,0,1,0,21.9421,3.83663,21.604,0.916107,0.54703,0.332215,0.508663
2017-05-20 10:22,4,1,#27 Daniel Zhang,#19 Ben Wang,1,1,0,1,0,0,1,0,0,0,0,44.4697,44.4307,1.86242,0.332215,0.508663,0.281879,0.0643564
2017-05-20 10:23,4,2,#27 Daniel Zhang,#22 Paul Simpson,0,0,0,1,1,0,0,0,0,0,0,15.062,14.9752,-1.61409,0.177852,0.241337,0.221477,0.0915842
