Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck? (> 40m),Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2017-03-11 09:19,1,1,#22 Paul Simpson,#14 Cecilia Wu,1,0,1,0,0,0,0,0,0,0,0,9.62507,1.11386,-9.5604,0.204698,0.747525,0.463087,0.736386
2017-03-11 09:20,1,2,#22 Paul Simpson,#2 Jamie Chen,1,1,0,0,0,0,0,0,0,0,1,22.8779,22.1535,-5.71141,0.701342,0.836634,0.855705,0.615099
2017-03-11 09:20,1,3,#22 Paul Simpson,#2 Jamie Chen,0,0,0,0,0,0,0,0,0,0,0,25.2656,22.2772,11.9195,0.815436,0.725248,0.493289,0.502475
2017-03-11 09:20,1,3,#2 Jamie Chen,#22 Paul Simpson,1,0,1,0,0,0,0,1,0,0,0,12.9226,-1.85643,-12.7886,0.493289,0.502475,0.838926,0.52104
2017-03-11 09:21,1,4,#14 Cecilia Wu,#22 Paul Simpson,0,0,0,0,0,0,0,0,1,0,0,7.98283,-7.92079,0.993288,0.805369,0.668317,0.778524,0.747525
2017-03-11 09:21,1,4,#22 Paul Simpson,#14 Cecilia Wu,0,0,0,0,0,0,0,1,0,0,0,11.9847,4.33168,11.1745,0.778524,0.747525,0.47651,0.704208
2017-03-11 09:21,1,4,#14 Cecilia Wu,#2 Jamie Chen,1,0,1,0,0,0,0,0,0,0,0,16.9406,13.9851,-9.5604,0.47651,0.704208,0.734899,0.564356
2017-03-11 09:22,1,5,#22 Paul Simpson,#69 Justin Chen,0,0,0,0,0,0,0,0,0,0,0,14.2,10.0247,-10.057,0.483221,0.844059,0.755034,0.743812
2017-03-11 09:22,1,5,#69 Justin Chen,#1 Joyce Wang,0,0,0,0,0,0,0,0,0,0,1,10.6227,9.03466,-5.58725,0.755034,0.743812,0.90604,0.653465
2017-03-11 09:22,1,5,#1 Joyce Wang,Melody Zheng,1,0,1,0,0,0,0,1,0,1,0,16.414,-3.58911,16.0168,0.90604,0.653465,0.473154,0.689356
2017-03-11 09:22,1,6,#14 Cecilia Wu,#2 Jamie Chen,0,0,0,0,0,0,0,0,0,0,0,20.7226,18.8119,8.69127,0.791946,0.699257,0.557047,0.511139
