Player,Points played total,Points played,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Average completed throw distance (m),Average completed throw gain (m),Average incomplete throw distance (m),Average incomplete throw gain (m),Average caught pass distance (m),Average caught pass gain (m)
#1 Joyce Wang,5,"1,3,4,6,7,9",3,2,3,2,1,0,0,0,0,0,0,0,0,0,12.67,7.22,0.00,0.00,12.75,6.00
#14 Cecilia Wu,5,"1,2,3,5,7,9",1,1,1,0,1,0,0,0,1,0,1,0,0,0,0.00,0.00,14.11,14.11,0.00,0.00
#27 Daniel Zhang,6,"1,2,4,5,6,8",44,6,44,33,11,3,2,0,9,8,1,1,0,0,11.41,7.68,16.50,14.01,10.77,2.90
#28 Tina Zhu,5,"2,3,5,6,8,9",2,1,2,0,2,0,0,0,0,0,0,0,0,0,13.33,11.14,17.24,10.02,0.00,0.00
#52 Emily Zhang,5,"2,4,5,7,8",3,1,3,3,0,0,0,0,1,0,1,0,0,0,10.13,-2.10,0.00,0.00,12.97,5.03
#19 Ben Wang,4,"1,2,5,6,9",4,2,4,4,0,0,0,0,4,0,4,1,0,0,10.02,-7.67,0.00,0.00,16.35,9.62
#55 Tigger Li,4,"2,3,5,7,9",21,5,20,10,11,1,1,1,10,7,3,5,0,0,13.12,5.40,30.95,27.55,10.85,3.17
#22 Paul Simpson,5,"1,3,4,6,8",36,4,36,24,12,3,0,0,3,3,0,6,0,0,12.54,7.37,13.17,9.65,10.14,3.71
#41 Billy Ni,3,"2,5,7,9",5,3,5,4,1,0,0,0,0,0,0,3,0,0,10.94,1.14,13.52,9.03,12.14,2.48
#0 Julie Luo,4,"1,4,6,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#2 Jamie Chen,3,"1,3,7",4,3,1,4,0,0,0,3,0,0,0,3,0,0,11.42,-3.71,0.00,0.00,17.92,14.67
#30 Jimmy Peng,2,"3,7,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
Oscar Yao,3,"4,6,8",11,3,8,11,0,0,0,3,4,2,2,0,0,0,9.68,-6.00,8.45,0.19,14.78,12.57
#25 Alex Chen,2,"4,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
