Player,Points played total,Points played,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Average completed throw distance (m),Average completed throw gain (m),Average incomplete throw distance (m),Average incomplete throw gain (m),Average caught pass distance (m),Average caught pass gain (m)
#1 Joyce Wang,10,"1,2,3,4,5,6,7,8,9,10",15,4,15,14,1,0,1,0,1,1,0,0,0,0,11.42,0.79,14.11,14.11,12.10,6.23
#27 Daniel Zhang,10,"1,2,3,4,5,6,7,8,9,10",66,9,66,49,17,0,3,0,13,10,3,2,0,0,12.40,4.83,21.58,16.49,11.79,0.81
#14 Cecilia Wu,10,"1,2,3,4,5,6,7,8,9,10",24,6,24,22,2,0,0,0,7,5,2,3,0,0,11.32,1.89,14.62,9.18,12.23,1.89
#22 Paul Simpson,10,"1,2,3,4,5,6,7,8,9,10",84,10,84,50,34,6,0,0,20,19,1,9,0,0,13.38,5.65,19.76,13.54,11.24,1.67
#19 Ben Wang,5,"1,4,5,8,9",5,3,2,5,0,0,0,3,3,1,2,0,0,0,10.00,-9.65,13.94,-2.10,16.18,16.01
#2 Jamie Chen,5,"2,3,6,7,8",7,4,5,7,0,0,0,2,0,0,0,1,0,0,13.16,-1.19,0.00,0.00,21.52,19.54
#28 Tina Zhu,4,"2,6,7,10",2,1,1,2,0,0,0,1,2,0,2,0,0,0,11.24,-9.28,0.00,0.00,14.79,14.54
#52 Emily Zhang,3,"3,8,9",3,1,3,3,0,0,0,0,1,1,0,0,0,0,10.29,-7.43,9.73,-4.83,13.15,6.39
#30 Jimmy Peng,2,"6,7",2,1,2,2,0,0,0,0,0,0,0,0,0,0,10.74,-8.66,0.00,0.00,17.77,7.74
#25 Alex Chen,2,"5,9",1,1,1,1,0,0,0,0,0,0,0,1,0,0,9.92,-7.43,0.00,0.00,11.12,10.52
Oscar Yao,2,"1,10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#66 Jerry Chen,2,"2,10",1,1,1,1,0,0,0,0,1,1,0,0,0,0,0.00,0.00,14.70,13.49,20.55,20.54
Melody Zheng,2,"1,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#76 Jack Xia,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#0 Julie Luo,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#41 Billy Ni,1,3,1,1,1,1,0,0,0,0,1,0,1,1,0,0,9.96,5.07,0.00,0.00,14.55,12.50
