Player,Points played total,Points played,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Average completed throw distance (m),Average completed throw gain (m),Average incomplete throw distance (m),Average incomplete throw gain (m),Average caught pass distance (m),Average caught pass gain (m)
#27 Daniel Zhang,6,"1,2,3,5,6,7,8",17,5,16,5,12,0,0,1,6,5,1,3,0,0,12.92,0.70,18.72,16.29,13.09,1.81
#14 Cecilia Wu,6,"1,2,3,5,6,7,8",7,5,6,4,3,0,0,1,1,1,0,2,0,0,9.03,-2.72,25.75,25.31,11.07,0.96
#22 Paul Simpson,4,"1,2,4,5,8",26,5,26,11,15,2,1,0,12,11,1,2,0,0,13.71,7.27,23.15,17.85,15.80,7.62
#1 Joyce Wang,4,"1,2,4,7,8",2,2,2,2,0,0,0,0,0,0,0,0,0,0,11.79,-2.97,0.00,0.00,11.41,5.88
#66 Jerry Chen,4,"1,5,6,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#19 Ben Wang,4,"2,3,4,5",2,2,2,1,1,2,0,0,4,0,4,1,0,0,12.25,11.88,0.00,0.00,29.17,23.51
#55 Tigger Li,3,"2,3,4,8",25,3,24,13,12,0,1,1,11,8,3,0,0,0,15.37,9.89,27.02,23.30,10.78,1.13
#11 Momoka Goto,2,"3,5,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#28 Tina Zhu,3,"2,6,7",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#0 Julie Luo,2,"1,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
Khloris Liu,2,"3,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#69 Justin Chen,1,"4,8",3,2,2,3,0,0,0,1,1,1,0,0,0,0,11.43,-0.25,9.04,8.79,13.32,11.59
#30 Jimmy Peng,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#52 Emily Zhang,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#7 Cici Qiu,1,4,2,1,2,2,0,0,0,0,1,1,0,0,0,0,12.02,-12.00,13.73,-12.75,14.46,11.39
#76 Jack Xia,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#29 Tony Wu,1,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#39 David Xiao,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#25 Alex Chen,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#86 Ellis Tan,1,7,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0.00,0.00,14.74,14.36,20.46,20.42
