Player,Points played total,Points played,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Average completed throw distance (m),Average completed throw gain (m),Average incomplete throw distance (m),Average incomplete throw gain (m),Average caught pass distance (m),Average caught pass gain (m)
#1 Joyce Wang,7,"1,2,4,6,8,10,11,12",12,7,9,7,5,3,0,3,0,0,0,2,0,0,15.27,8.35,0.00,0.00,15.57,9.35
#27 Daniel Zhang,6,"1,3,5,7,9,11,12",17,7,16,10,7,2,1,1,5,5,0,1,0,0,17.05,8.61,19.88,18.14,12.07,2.76
#22 Paul Simpson,6,"1,3,5,7,9,11,12",15,5,14,9,6,2,2,1,2,2,0,4,0,0,14.48,9.33,34.42,33.85,13.76,2.31
#14 Cecilia Wu,6,"1,3,5,7,9,11,12",5,4,5,3,2,2,0,0,3,3,0,1,0,0,21.59,18.32,17.46,12.38,16.04,5.28
#69 Justin Chen,5,"2,4,6,8,10,12",4,3,3,3,1,0,0,1,3,2,1,2,0,0,10.66,-1.49,19.08,17.33,16.51,8.09
#55 Tigger Li,5,"2,4,6,8,11",18,4,17,5,13,1,0,1,7,7,0,4,0,0,13.71,8.23,20.81,20.29,12.36,3.59
#19 Ben Wang,5,"1,6,8,10,11",2,1,1,2,0,0,0,1,1,0,1,0,0,0,9.09,-7.92,0.00,0.00,20.44,18.01
#11 Momoka Goto,4,"2,4,8,11",1,1,1,1,0,0,0,0,1,0,1,0,0,0,8.82,-3.84,0.00,0.00,11.22,9.65
#0 Julie Luo,3,"3,6,9,12",1,1,1,1,0,0,0,0,0,0,0,0,0,0,11.69,10.27,0.00,0.00,15.20,13.99
#25 Alex Chen,3,"2,5,8,12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#7 Cici Qiu,4,"3,6,7,10",1,1,1,0,1,0,0,0,0,0,0,1,0,0,12.73,-7.30,0.00,0.00,0.00,0.00
#52 Emily Zhang,3,"4,7,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#30 Jimmy Peng,3,"3,6,9",1,1,1,1,0,0,0,0,1,0,1,0,0,0,7.49,0.74,0.00,0.00,8.84,8.79
Khloris Liu,3,"1,5,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#28 Tina Zhu,3,"2,5,10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
Oscar Yao,3,"1,5,10",2,1,1,1,1,0,0,1,0,0,0,1,0,0,9.98,-9.53,0.00,0.00,27.56,26.24
#76 Jack Xia,3,"3,7,10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#39 David Xiao,2,"2,7",3,2,2,3,0,0,0,1,3,1,2,1,0,0,15.71,-13.24,9.18,7.55,19.86,17.24
#29 Tony Wu,2,"4,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#86 Ellis Tan,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
