Player,Points played total,Points played,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Average completed throw distance (m),Average completed throw gain (m),Average incomplete throw distance (m),Average incomplete throw gain (m),Average caught pass distance (m),Average caught pass gain (m)
#1 Joyce Wang,8,"1,2,3,4,6,7,8,9",4,3,4,4,0,0,1,0,1,1,0,0,0,0,11.66,-3.88,14.75,14.73,14.91,10.02
#14 Cecilia Wu,8,"1,2,4,5,6,7,8,9",16,6,15,16,0,0,0,1,4,3,1,1,0,0,13.69,5.33,17.72,7.12,13.84,-2.65
#22 Paul Simpson,7,"1,2,4,5,7,8,9",20,5,19,10,10,2,0,1,2,2,0,2,0,0,16.95,6.90,18.73,12.29,14.90,4.49
#19 Ben Wang,6,"1,2,4,5,7,9",2,2,1,2,0,0,0,1,0,0,0,0,0,0,10.95,-8.66,0.00,0.00,22.86,15.47
#27 Daniel Zhang,5,"2,4,5,6,8",21,4,21,12,9,1,1,0,4,4,0,0,0,0,15.00,1.09,27.13,26.11,14.03,3.33
#55 Tigger Li,5,"1,3,6,8,9",20,5,20,9,11,1,0,0,6,6,0,2,0,0,15.03,5.06,30.98,25.54,13.86,5.28
#69 Justin Chen,3,"3,7,8",3,3,3,3,0,0,0,0,4,2,2,0,0,0,14.65,0.12,18.21,17.02,13.21,1.98
#0 Julie Luo,3,"2,5,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#11 Momoka Goto,3,"1,6,8",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#39 David Xiao,3,"1,2,5",1,1,0,1,0,0,0,1,1,0,1,0,0,0,0.00,0.00,0.00,0.00,43.44,39.36
#66 Jerry Chen,2,"3,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#28 Tina Zhu,2,"5,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#86 Ellis Tan,1,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#30 Jimmy Peng,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#76 Jack Xia,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#52 Emily Zhang,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
Khloris Liu,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#29 Tony Wu,1,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#25 Alex Chen,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#7 Cici Qiu,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
