Player,Points played total,Points played,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Average completed throw distance (m),Average completed throw gain (m),Average incomplete throw distance (m),Average incomplete throw gain (m),Average caught pass distance (m),Average caught pass gain (m)
Joyce Wang,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",16,10,14,15,1,3,2,2,3,3,0,1,0,0,16.27,13.51,16.75,16.21,16.06,10.52
#22 Paul Simpson,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",40,15,39,18,22,5,2,1,4,3,1,0,0,0,17.14,11.37,27.74,24.17,15.09,7.26
#27 Daniel Zhang,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",12,8,11,11,1,1,4,1,2,1,1,2,0,0,19.68,13.55,42.87,40.59,12.68,8.17
Cecilia Wu,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",11,7,11,9,2,0,0,0,1,1,0,1,0,0,14.79,5.98,26.43,26.36,12.85,3.19
#69 Justin Chen,12,"1,2,3,7,8,9,10,12,13,14,15,16",6,6,4,5,1,0,0,2,1,1,0,2,0,0,11.35,0.17,32.26,22.40,20.94,11.53
Jamie Chen,10,"1,2,3,4,5,6,9,10,13,14",5,5,3,5,0,1,0,2,4,2,2,1,0,0,19.30,16.83,19.97,18.01,21.83,17.60
Tina Zhu,10,"3,4,5,6,7,8,11,12,15,16",6,5,6,6,0,0,0,0,1,1,0,0,0,0,9.16,-2.70,16.21,10.27,14.44,6.48
#19 Ben Wang,4,"2,11,15,16",2,2,1,2,0,0,0,1,1,0,1,0,0,0,7.58,-2.72,0.00,0.00,23.72,23.64
Theresa Zhang,4,"9,10,13,14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#66 Jerry Chen,2,"5,12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
Alex Chen,2,"6,11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
Oscar Yao,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00
Jack Xia,1,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,30.35,28.22
Julie Luo,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#41 Billy Ni,1,7,1,1,1,1,0,0,1,0,0,0,0,0,0,0,8.68,-6.31,0.00,0.00,21.87,21.78
