Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2017-04-08 14:45,1,0,0,1,1,1,7,0,0,0,0,0,#14 Cecilia Wu,#27 Daniel Zhang,#19 Ben Wang
2017-04-08 14:49,2,1,0,0,1,1,1,0,0,0,0,1,,#27 Daniel Zhang,#41 Billy Ni
2017-04-08 14:50,3,2,0,0,1,4,10,2,2,0,1,3,#19 Ben Wang,#27 Daniel Zhang,#41 Billy Ni
2017-04-08 14:55,4,3,0,0,1,7,19,6,5,1,1,6,#14 Cecilia Wu,#55 Tigger Li,#19 Ben Wang
2017-04-08 15:01,5,4,0,0,1,1,1,0,0,0,1,0,,#27 Daniel Zhang,#14 Cecilia Wu
2017-04-08 15:03,6,5,0,0,0,0,0,0,0,0,0,0,,,
2017-04-08 15:05,7,5,1,1,0,4,11,4,3,1,0,3,,,
2017-04-08 15:09,8,5,2,1,1,6,12,5,5,0,1,4,,#27 Daniel Zhang,#19 Ben Wang
2017-04-08 15:14,9,6,2,0,0,0,0,0,0,0,0,0,,,
2017-04-08 15:16,10,6,3,1,1,2,11,1,1,0,1,0,#66 Jerry Chen,#27 Daniel Zhang,#28 Tina Zhu
2017-04-08 15:20,11,7,3,0,0,6,11,5,5,0,2,4,,,
2017-04-08 15:28,12,7,4,1,0,1,3,1,1,0,0,0,,,
2017-04-08 15:30,13,7,5,1,1,2,10,1,1,0,0,1,Oscar Yao,#27 Daniel Zhang,#55 Tigger Li
2017-04-08 15:34,14,8,5,0,0,0,0,0,0,0,0,0,,,
