Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2017-05-21 15:35,1,0,0,1,0,4,12,4,2,2,0,3,,,
2017-05-21 16:01,2,0,1,1,1,2,7,1,1,1,0,1,#27 Daniel Zhang,#22 Paul Simpson,#2 Jamie Chen
2017-05-21 16:04,3,1,1,0,0,11,58,11,8,3,5,6,,,
2017-05-21 16:18,4,1,2,1,1,2,3,1,1,0,1,0,#27 Daniel Zhang,#22 Paul Simpson,#19 Ben Wang
2017-05-21 16:21,5,2,2,0,0,5,7,5,5,1,3,2,,,
2017-05-21 16:26,6,2,3,1,1,2,2,1,1,0,0,1,,#22 Paul Simpson,#2 Jamie Chen
2017-05-21 16:32,7,3,3,0,1,6,49,5,4,1,2,4,#27 Daniel Zhang,#22 Paul Simpson,#28 Tina Zhu
2017-05-21 16:41,8,4,3,0,1,13,43,12,10,2,5,8,#1 Joyce Wang,#22 Paul Simpson,#19 Ben Wang
2017-05-21 16:55,9,5,3,0,1,9,22,8,6,3,1,8,,#22 Paul Simpson,#19 Ben Wang
2017-05-21 17:02,10,6,3,0,0,1,3,1,1,0,0,1,,,
2017-05-21 17:06,11,6,4,1,0,0,0,0,0,0,0,0,,,
