Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2017-05-12 15:30,1,0,0,1,0,3,6,3,2,1,1,1,,,
2017-05-12 15:45,2,0,1,1,1,2,3,1,1,0,1,0,,#22 Paul Simpson,#69 Justin Chen
2017-05-12 15:47,3,1,1,0,0,0,0,0,0,0,0,0,,,
2017-05-12 15:49,4,1,2,1,1,1,3,0,0,0,0,0,#22 Paul Simpson,#69 Justin Chen,#39 David Xiao
2017-05-12 15:51,5,2,2,0,1,2,5,1,1,0,0,2,#14 Cecilia Wu,#22 Paul Simpson,#76 Jack Xia
2017-05-12 15:54,6,3,2,0,1,1,2,0,0,0,0,1,#27 Daniel Zhang,#22 Paul Simpson,#14 Cecilia Wu
2017-05-12 15:56,7,4,2,0,1,1,3,0,0,0,1,0,#27 Daniel Zhang,#22 Paul Simpson,#27 Daniel Zhang
2017-05-12 15:58,8,5,2,0,0,1,1,1,0,1,1,0,,,
2017-05-12 16:00,9,5,3,1,1,3,9,2,2,0,1,1,#69 Justin Chen,#22 Paul Simpson,#19 Ben Wang
2017-05-12 16:03,10,6,3,0,0,1,1,1,1,0,0,1,,,
2017-05-12 16:06,11,6,4,1,1,2,6,1,1,0,1,0,#41 Billy Ni,#27 Daniel Zhang,#19 Ben Wang
2017-05-12 16:09,12,7,4,0,1,2,2,1,1,0,2,0,,#22 Paul Simpson,#39 David Xiao
2017-05-12 16:14,13,8,4,0,1,1,1,0,0,0,1,0,,#27 Daniel Zhang,#1 Joyce Wang
2017-05-12 16:15,14,9,4,0,1,1,1,0,0,0,0,1,,#69 Justin Chen,#0 Julie Luo
2017-05-12 16:17,15,10,4,0,1,1,3,0,0,0,0,1,#19 Ben Wang,#22 Paul Simpson,#19 Ben Wang
2017-05-12 16:18,16,11,4,0,1,1,1,0,0,0,1,0,,#27 Daniel Zhang,#14 Cecilia Wu
2017-05-12 16:20,17,12,4,0,1,1,1,0,0,0,1,0,,#22 Paul Simpson,#41 Billy Ni
2017-05-12 16:22,18,13,4,0,0,0,0,0,0,0,0,0,,,
