Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2017-03-31 15:26,1,0,0,1,1,5,22,4,3,1,1,3,#27 Daniel Zhang,#11 Momoka Goto,Oscar Yao
2017-03-31 15:52,2,1,0,0,1,4,9,3,2,1,1,3,,#22 Paul Simpson,#27 Daniel Zhang
2017-03-31 15:57,3,2,0,0,1,1,3,0,0,0,0,1,#14 Cecilia Wu,#22 Paul Simpson,#27 Daniel Zhang
2017-03-31 16:00,4,3,0,0,0,5,6,5,3,2,1,4,,,
2017-03-31 16:09,5,3,1,1,0,1,1,1,0,1,0,0,,,
2017-03-31 16:12,6,3,2,1,1,5,21,4,1,3,0,4,#27 Daniel Zhang,#22 Paul Simpson,#19 Ben Wang
2017-03-31 16:18,7,4,2,0,1,1,3,0,0,0,0,1,#66 Jerry Chen,#27 Daniel Zhang,#41 Billy Ni
2017-03-31 16:20,8,5,2,0,1,1,1,0,0,0,1,0,,#22 Paul Simpson,#66 Jerry Chen
2017-03-31 16:22,9,6,2,0,0,1,1,1,1,0,1,0,,,
2017-03-31 16:25,10,6,3,1,1,4,6,3,1,2,2,1,,#27 Daniel Zhang,#14 Cecilia Wu
2017-03-31 16:29,11,7,3,0,0,0,0,0,0,0,0,0,,,
