Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2017-05-20 14:56,1,0,0,0,1,2,7,1,1,0,1,1,#22 Paul Simpson,#14 Cecilia Wu,#1 Joyce Wang
2017-05-20 15:03,2,1,0,0,1,6,11,5,3,2,4,2,,#55 Tigger Li,#1 Joyce Wang
2017-05-20 15:10,3,2,0,0,1,5,9,4,3,1,4,1,#27 Daniel Zhang,#22 Paul Simpson,#27 Daniel Zhang
2017-05-20 15:14,4,3,0,0,1,6,8,5,3,2,3,3,,#1 Joyce Wang,#55 Tigger Li
2017-05-20 15:22,5,4,0,0,1,2,3,1,1,0,1,1,,#27 Daniel Zhang,Oscar Yao
2017-05-20 15:25,6,5,0,0,1,3,6,2,2,0,0,3,,#1 Joyce Wang,#69 Justin Chen
2017-05-20 15:30,7,6,0,0,1,3,5,2,2,0,2,1,,#14 Cecilia Wu,#39 David Xiao
2017-05-20 15:34,8,7,0,0,1,2,4,1,1,0,0,2,,#1 Joyce Wang,#19 Ben Wang
2017-05-20 15:38,9,8,0,0,1,1,3,0,0,0,0,1,#22 Paul Simpson,#27 Daniel Zhang,#22 Paul Simpson
2017-05-20 15:40,10,9,0,0,0,1,1,1,1,0,0,1,,,
2017-05-20 15:43,11,9,1,1,1,2,2,1,0,1,1,0,,#22 Paul Simpson,#1 Joyce Wang
2017-05-20 15:46,12,10,1,0,0,3,13,3,3,0,1,3,,,
