Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2017-05-20 09:57,1,0,0,0,1,1,3,0,0,0,0,1,#1 Joyce Wang,#55 Tigger Li,#19 Ben Wang
2017-05-20 10:03,2,1,0,0,1,2,2,1,0,1,0,2,,#22 Paul Simpson,#14 Cecilia Wu
2017-05-20 10:07,3,2,0,0,0,6,7,6,4,2,0,6,,,
2017-05-20 10:20,4,2,1,1,1,2,9,1,1,0,0,1,,#27 Daniel Zhang,#22 Paul Simpson
2017-05-20 10:23,5,3,1,0,1,2,9,1,1,0,1,1,#27 Daniel Zhang,#22 Paul Simpson,#39 David Xiao
2017-05-20 10:27,6,4,1,0,0,7,24,7,5,2,2,5,,,
2017-05-20 10:38,7,4,2,1,0,6,16,6,3,3,2,3,,,
2017-05-20 10:47,8,4,3,1,0,2,11,2,2,0,0,1,,,
2017-05-20 10:51,9,4,4,1,0,2,2,2,2,0,0,1,,,
2017-05-20 11:02,10,4,5,1,0,0,0,0,0,0,0,0,,,
