Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2017-04-08 09:55,1,0,0,1,1,3,5,2,1,1,0,2,,#27 Daniel Zhang,#19 Ben Wang
2017-04-08 10:02,2,1,0,0,0,0,0,0,0,0,0,0,,,
2017-04-08 10:04,3,1,1,1,1,3,12,2,2,0,1,1,#1 Joyce Wang,#14 Cecilia Wu,#19 Ben Wang
2017-04-08 10:08,4,2,1,0,1,4,8,3,2,1,2,2,,#27 Daniel Zhang,#14 Cecilia Wu
2017-04-08 10:12,5,3,1,0,1,1,1,0,0,0,0,1,,#27 Daniel Zhang,Oscar Yao
2017-04-08 10:14,6,4,1,0,1,2,3,1,1,0,0,2,,#27 Daniel Zhang,Oscar Yao
2017-04-08 10:16,7,5,1,0,1,4,10,3,3,0,2,2,,#27 Daniel Zhang,#19 Ben Wang
2017-04-08 10:21,8,6,1,0,1,1,1,0,0,0,1,0,,#27 Daniel Zhang,#41 Billy Ni
2017-04-08 10:23,9,7,1,0,1,1,3,0,0,0,0,1,#41 Billy Ni,#55 Tigger Li,#30 Jimmy Peng
2017-04-08 10:29,10,8,1,0,1,1,4,0,0,0,1,0,#27 Daniel Zhang,#41 Billy Ni,#30 Jimmy Peng
2017-04-08 10:31,11,9,1,0,1,1,2,0,0,0,1,0,#27 Daniel Zhang,#19 Ben Wang,Oscar Yao
2017-04-08 10:33,12,10,1,0,1,1,3,0,0,0,1,0,#66 Jerry Chen,#27 Daniel Zhang,#19 Ben Wang
2017-04-08 10:36,13,11,1,0,1,3,4,2,1,1,2,1,#1 Joyce Wang,#27 Daniel Zhang,#19 Ben Wang
2017-04-08 10:39,14,12,1,0,1,3,6,2,1,1,2,1,,#27 Daniel Zhang,#19 Ben Wang
2017-04-08 10:42,15,13,1,0,0,0,0,0,0,0,0,0,,,
