Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2017-05-09 16:23,1,0,0,1,0,6,18,5,5,0,1,4,,,
2017-05-09 16:32,2,0,1,1,1,5,14,4,4,0,2,2,#1 Joyce Wang,#22 Paul Simpson,#55 Tigger Li
2017-05-09 16:37,3,1,1,0,1,4,7,3,0,3,1,3,,#22 Paul Simpson,#1 Joyce Wang
2017-05-09 16:41,4,2,1,0,1,3,9,2,2,0,0,3,#27 Daniel Zhang,#14 Cecilia Wu,#66 Jerry Chen
2017-05-09 16:46,5,3,1,0,1,2,4,1,0,1,0,2,#27 Daniel Zhang,#55 Tigger Li,#1 Joyce Wang
2017-05-09 16:50,6,4,1,0,0,8,12,8,6,2,3,5,,,
2017-05-09 16:56,7,4,2,1,0,2,2,2,0,2,1,0,,,
2017-05-09 17:00,8,4,3,1,1,1,3,1,1,0,1,0,,,
2017-05-09 17:02,9,5,3,0,0,2,7,2,2,0,1,1,,,
2017-05-09 17:05,10,5,4,1,1,3,11,2,1,1,2,0,#55 Tigger Li,#69 Justin Chen,#19 Ben Wang
2017-05-09 17:09,11,6,4,0,0,1,2,1,1,0,1,0,,,
2017-05-09 17:11,12,6,5,1,1,1,5,0,0,0,0,0,#1 Joyce Wang,#22 Paul Simpson,#66 Jerry Chen
2017-05-09 17:13,13,7,5,0,0,4,17,4,4,0,2,2,,,
2017-05-09 17:19,14,7,6,1,1,1,1,0,0,0,0,0,,#55 Tigger Li,#19 Ben Wang
2017-05-09 17:23,15,8,6,0,0,0,0,0,0,0,0,0,,,
