Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2017-04-08 13:28,1,0,0,1,1,3,9,2,2,0,1,1,#27 Daniel Zhang,#55 Tigger Li,Oscar Yao
2017-04-08 13:35,2,1,0,0,0,1,1,1,0,1,1,0,,,
2017-04-08 13:38,3,1,1,1,1,4,9,3,2,1,2,1,,#27 Daniel Zhang,#55 Tigger Li
2017-04-08 13:42,4,2,1,0,1,1,1,0,0,0,0,1,,#55 Tigger Li,#14 Cecilia Wu
2017-04-08 13:44,5,3,1,0,0,0,0,0,0,0,0,0,,,
2017-04-08 13:47,6,3,2,1,1,2,6,1,1,0,1,0,,#27 Daniel Zhang,#55 Tigger Li
2017-04-08 13:49,7,4,2,0,1,2,7,1,1,0,1,1,,#27 Daniel Zhang,Oscar Yao
2017-04-08 13:53,8,5,2,0,1,1,5,0,0,0,0,1,#41 Billy Ni,#27 Daniel Zhang,#66 Jerry Chen
2017-04-08 13:59,9,6,2,0,0,0,0,0,0,0,0,0,,,
2017-04-08 14:01,10,6,3,1,0,1,2,1,0,1,0,0,,,
2017-04-08 14:04,11,6,4,1,0,3,13,3,3,0,0,2,,,
2017-04-08 14:10,12,6,5,1,1,1,3,0,0,0,0,0,Oscar Yao,#27 Daniel Zhang,#55 Tigger Li
2017-04-08 14:11,13,7,5,0,0,0,0,0,0,0,0,0,,,
2017-04-08 14:15,14,7,6,1,0,1,2,1,0,1,0,0,,,
2017-04-08 14:18,15,7,7,1,0,5,17,5,4,1,1,3,,,
2017-04-08 14:30,16,7,8,1,0,0,0,0,0,0,0,0,,,
