Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2017-05-21 09:05,1,1,0,0,0.161074,0.273515,#27 Daniel Zhang,1,,,,#27 Daniel Zhang,,
2017-05-21 09:06,1,2,0,1,0.120805,0.220297,#27 Daniel Zhang,1,,#27 Daniel Zhang,#2 Jamie Chen,,,
2017-05-21 09:08,2,1,0,0,0.0771812,0.747525,#27 Daniel Zhang,3,,,,#27 Daniel Zhang,,
2017-05-21 09:09,2,2,0,0,0.516779,0.654703,#55 Tigger Li,5,,,,,#19 Ben Wang,
2017-05-21 09:10,2,3,0,0,0.479866,0.497525,#27 Daniel Zhang,1,,,,#27 Daniel Zhang,,
2017-05-21 09:10,2,4,0,0,0.100671,0.439356,#27 Daniel Zhang,3,,,,,#55 Tigger Li,
2017-05-21 09:12,2,5,0,0,0.0704698,0.481436,#27 Daniel Zhang,3,,,,#27 Daniel Zhang,,
2017-05-21 09:12,2,6,0,0,0.265101,0.501238,#55 Tigger Li,2,,,,#27 Daniel Zhang,,
2017-05-21 09:15,3,1,1,0,0.224832,0.503713,#22 Paul Simpson,3,,,,#55 Tigger Li,,
2017-05-21 09:17,3,2,1,1,0.536913,0.336634,#22 Paul Simpson,1,,#22 Paul Simpson,#2 Jamie Chen,,,
2017-05-21 09:20,4,1,0,0,0.315436,0.582921,#27 Daniel Zhang,5,,,,Oscar Yao,,
2017-05-21 09:21,4,2,0,0,0.187919,0.821782,#22 Paul Simpson,3,,,,,Oscar Yao,
2017-05-21 09:22,4,3,0,0,0.781879,0.717822,#1 Joyce Wang,6,,,,,#27 Daniel Zhang,
2017-05-21 09:23,4,4,0,1,0.14094,0.207921,#27 Daniel Zhang,1,,#27 Daniel Zhang,Oscar Yao,,,
2017-05-21 09:25,5,1,0,0,0.184564,0.539604,#27 Daniel Zhang,1,,,,#27 Daniel Zhang,,
2017-05-21 09:26,5,2,0,1,0.208054,0.47401,#27 Daniel Zhang,3,#55 Tigger Li,#27 Daniel Zhang,#55 Tigger Li,,,
2017-05-21 09:30,6,1,0,0,0.895973,0.803218,#22 Paul Simpson,11,,,,,#19 Ben Wang,
2017-05-21 09:31,6,2,0,0,0.734899,0.772277,#22 Paul Simpson,4,,,,,#19 Ben Wang,
2017-05-21 09:32,6,3,0,0,0.255034,0.581683,#27 Daniel Zhang,1,,,,#27 Daniel Zhang,,
2017-05-21 09:32,6,4,0,0,0.503356,0.590347,#22 Paul Simpson,3,,,,#22 Paul Simpson,,
2017-05-21 09:33,6,5,0,1,0.875839,0.496287,#22 Paul Simpson,8,#27 Daniel Zhang,#22 Paul Simpson,Oscar Yao,,,
2017-05-21 09:37,7,1,0,0,0.52349,0.533416,#55 Tigger Li,3,,,,#55 Tigger Li,,
2017-05-21 09:38,7,2,0,0,0.171141,0.446782,#55 Tigger Li,1,,,,,#14 Cecilia Wu,
2017-05-21 09:39,7,3,0,0,0.510067,0.509901,#55 Tigger Li,1,,,,#55 Tigger Li,,
2017-05-21 09:39,7,4,0,0,0.268456,0.476485,#55 Tigger Li,1,,,,#55 Tigger Li,,
2017-05-21 09:40,7,5,0,0,0.144295,0.568069,#55 Tigger Li,1,,,,#55 Tigger Li,,
2017-05-21 09:41,7,6,0,0,0.187919,0.538366,#55 Tigger Li,1,,,,#55 Tigger Li,,
2017-05-21 09:41,7,7,0,0,0.204698,0.25,#14 Cecilia Wu,1,,,,,#55 Tigger Li,
2017-05-21 09:43,7,8,0,1,0.171141,0.293317,#55 Tigger Li,1,,#55 Tigger Li,#2 Jamie Chen,,,
2017-05-21 09:46,8,1,0,0,0.489933,0.759901,#22 Paul Simpson,8,,,,Oscar Yao,,
2017-05-21 09:48,8,2,0,0,0.520134,0.783416,#22 Paul Simpson,1,,,,#22 Paul Simpson,,
2017-05-21 09:48,8,3,0,0,0.667785,0.780941,#22 Paul Simpson,12,,,,#27 Daniel Zhang,,
2017-05-21 09:52,8,4,0,0,0.114094,0.5,#28 Tina Zhu,1,,,,,Oscar Yao,
2017-05-21 09:53,8,5,0,0,0.392617,0.47401,#28 Tina Zhu,4,,,,#22 Paul Simpson,,
2017-05-21 09:54,8,6,0,0,0.161074,0.532178,#22 Paul Simpson,7,,,,,#52 Emily Zhang,
2017-05-21 09:55,8,7,0,1,0.241611,0.492574,#22 Paul Simpson,6,#27 Daniel Zhang,#22 Paul Simpson,Oscar Yao,,,
2017-05-21 09:58,9,1,0,0,0.137584,0.565594,#55 Tigger Li,2,,,,,#55 Tigger Li,
2017-05-21 09:59,9,2,0,0,0.352349,0.486386,#41 Billy Ni,2,,,,,#19 Ben Wang,
2017-05-21 09:59,9,3,0,0,0.442953,0.832921,#55 Tigger Li,5,,,,#55 Tigger Li,,
