Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2017-05-21 15:57,1,1,1,0,0.738255,0.544554,#22 Paul Simpson,6,,,,#27 Daniel Zhang,,
2017-05-21 15:59,1,2,1,0,0.174497,0.816832,#22 Paul Simpson,2,,,,,#22 Paul Simpson,
2017-05-21 16:00,1,3,1,0,0.238255,0.725248,#14 Cecilia Wu,3,,,,,#14 Cecilia Wu,
2017-05-21 16:01,1,4,1,0,0.0402685,0.809406,#14 Cecilia Wu,1,,,,#14 Cecilia Wu,,
2017-05-21 16:03,2,1,1,0,0.124161,0.512376,#27 Daniel Zhang,3,,,,#66 Jerry Chen,#28 Tina Zhu,
2017-05-21 16:04,2,2,1,1,0.862416,0.456683,#22 Paul Simpson,4,#27 Daniel Zhang,#22 Paul Simpson,#2 Jamie Chen,,,
2017-05-21 16:06,3,1,0,0,0.838926,0.617574,#27 Daniel Zhang,4,,,,#22 Paul Simpson,,
2017-05-21 16:07,3,2,0,0,0.852349,0.678218,#22 Paul Simpson,7,,,,,#41 Billy Ni,
2017-05-21 16:09,3,3,0,0,0.855705,0.42203,#27 Daniel Zhang,6,,,,#22 Paul Simpson,,
2017-05-21 16:10,3,4,0,0,0.456376,0.5,#22 Paul Simpson,2,,,,#52 Emily Zhang,,
2017-05-21 16:10,3,5,0,0,0.654362,0.568069,#27 Daniel Zhang,5,,,,,#27 Daniel Zhang,
2017-05-21 16:11,3,6,0,0,0.261745,0.665842,#22 Paul Simpson,7,,,,,#14 Cecilia Wu,
2017-05-21 16:13,3,7,0,0,0.83557,0.653465,#22 Paul Simpson,4,,,,#14 Cecilia Wu,,
2017-05-21 16:14,3,8,0,0,0.479866,0.839109,#22 Paul Simpson,15,,,,#22 Paul Simpson,,
2017-05-21 16:15,3,9,0,0,0.224832,0.804455,#27 Daniel Zhang,6,,,,#27 Daniel Zhang,,
2017-05-21 16:16,3,10,0,0,0.815436,0.595297,#22 Paul Simpson,1,,,,#22 Paul Simpson,,
2017-05-21 16:17,3,11,0,0,0.755034,0.820545,#22 Paul Simpson,1,,,,#22 Paul Simpson,,
2017-05-21 16:19,4,1,1,0,0.16443,0.465347,#27 Daniel Zhang,1,,,,#27 Daniel Zhang,,
2017-05-21 16:21,4,2,1,1,0.550336,0.217822,#27 Daniel Zhang,2,#27 Daniel Zhang,#22 Paul Simpson,#19 Ben Wang,,,
2017-05-21 16:24,5,1,0,0,0.483221,0.72896,#22 Paul Simpson,3,,,,#22 Paul Simpson,,
2017-05-21 16:24,5,2,0,0,0.744966,0.819307,#22 Paul Simpson,1,,,,#22 Paul Simpson,,
2017-05-21 16:25,5,3,0,0,0.815436,0.821782,#1 Joyce Wang,1,,,,#1 Joyce Wang,,
2017-05-21 16:26,5,4,0,0,0.751678,0.756188,#22 Paul Simpson,1,,,,#22 Paul Simpson,,
2017-05-21 16:26,5,5,0,0,0.724832,0.767327,#22 Paul Simpson,1,,,,#22 Paul Simpson,,
2017-05-21 16:28,6,1,1,0,0.157718,0.451733,#27 Daniel Zhang,1,,,,#27 Daniel Zhang,,
2017-05-21 16:32,6,2,1,1,0.171141,0.242574,#22 Paul Simpson,1,,#22 Paul Simpson,#2 Jamie Chen,,,
2017-05-21 16:33,7,1,0,0,0.0872483,0.743812,#27 Daniel Zhang,7,,,,#22 Paul Simpson,,
2017-05-21 16:34,7,2,0,0,0.825503,0.747525,#27 Daniel Zhang,1,,,,#27 Daniel Zhang,,
2017-05-21 16:35,7,3,0,0,0.627517,0.809406,#27 Daniel Zhang,10,,,,#27 Daniel Zhang,,
2017-05-21 16:37,7,4,0,0,0.442953,0.77104,#27 Daniel Zhang,2,,,,,#28 Tina Zhu,
2017-05-21 16:38,7,5,0,0,0.812081,0.808168,#22 Paul Simpson,15,,,,#27 Daniel Zhang,,
2017-05-21 16:39,7,6,0,1,0.855705,0.690594,#27 Daniel Zhang,14,#27 Daniel Zhang,#22 Paul Simpson,#28 Tina Zhu,,,
2017-05-21 16:43,8,1,0,0,0.144295,0.425743,#27 Daniel Zhang,4,,,,#14 Cecilia Wu,,
2017-05-21 16:43,8,2,0,0,0.466443,0.512376,#22 Paul Simpson,4,,,,#22 Paul Simpson,,
2017-05-21 16:44,8,3,0,0,0.161074,0.34901,#22 Paul Simpson,3,,,,#14 Cecilia Wu,,
2017-05-21 16:45,8,4,0,0,0.533557,0.513614,#22 Paul Simpson,2,,,,#27 Daniel Zhang,,
2017-05-21 16:45,8,5,0,0,0.130872,0.403465,#22 Paul Simpson,4,,,,#14 Cecilia Wu,,
2017-05-21 16:46,8,6,0,0,0.244966,0.627475,#22 Paul Simpson,3,,,,#27 Daniel Zhang,,
2017-05-21 16:46,8,7,0,0,0.130872,0.617574,#22 Paul Simpson,1,,,,#22 Paul Simpson,,
2017-05-21 16:47,8,8,0,0,0.493289,0.709158,#22 Paul Simpson,4,,,,,#19 Ben Wang,
2017-05-21 16:48,8,9,0,0,0.563758,0.518564,#22 Paul Simpson,5,,,,#22 Paul Simpson,,
2017-05-21 16:49,8,10,0,0,0.342282,0.502475,#22 Paul Simpson,1,,,,,#19 Ben Wang,
2017-05-21 16:50,8,11,0,0,0.35906,0.560644,#27 Daniel Zhang,2,,,,#19 Ben Wang,,
2017-05-21 16:50,8,12,0,0,0.110738,0.638614,#22 Paul Simpson,7,,,,#22 Paul Simpson,,
2017-05-21 16:54,8,13,0,1,0.832215,0.397277,#22 Paul Simpson,3,#1 Joyce Wang,#22 Paul Simpson,#19 Ben Wang,,,
2017-05-21 16:56,9,1,0,0,0.16443,0.595297,#27 Daniel Zhang,3,,,,#27 Daniel Zhang,,
2017-05-21 16:57,9,2,0,0,0.090604,0.706683,#22 Paul Simpson,1,,,,#22 Paul Simpson,,
2017-05-21 16:57,9,3,0,0,0.409396,0.717822,,1,,,,,,
2017-05-21 16:58,9,4,0,0,0.879195,0.67698,#22 Paul Simpson,5,,,,,#27 Daniel Zhang,
2017-05-21 16:58,9,5,0,0,0.312081,0.581683,#22 Paul Simpson,3,,,,#22 Paul Simpson,,
2017-05-21 16:59,9,6,0,0,0.869128,0.498762,#22 Paul Simpson,5,,,,,#27 Daniel Zhang,
2017-05-21 17:00,9,7,0,0,0.748322,0.490099,#22 Paul Simpson,1,,,,#22 Paul Simpson,,
2017-05-21 17:00,9,8,0,0,0.775168,0.527228,#27 Daniel Zhang,2,,,,#22 Paul Simpson,,
2017-05-21 17:01,9,9,0,1,0.342282,0.210396,#22 Paul Simpson,1,,#22 Paul Simpson,#19 Ben Wang,,,
2017-05-21 17:05,10,1,0,0,0.5,0.815594,#22 Paul Simpson,3,,,,#22 Paul Simpson,,
