Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2017-05-20 12:03,1,1,0,0,0.983221,0.476485,#22 Paul Simpson,1,,,,#22 Paul Simpson,,
2017-05-20 12:04,1,2,0,0,0.224832,0.25495,#27 Daniel Zhang,3,,,,,#22 Paul Simpson,
2017-05-20 12:05,1,3,0,0,0.345638,0.267327,#27 Daniel Zhang,2,,,,,#76 Jack Xia,
2017-05-20 12:08,2,1,1,0,0.822148,0.569307,#14 Cecilia Wu,2,,,,#55 Tigger Li,,
2017-05-20 12:11,2,2,1,1,0.14094,0.584158,#22 Paul Simpson,4,#22 Paul Simpson,#19 Ben Wang,#55 Tigger Li,,,
2017-05-20 12:14,3,1,0,0,0.684564,0.475248,#27 Daniel Zhang,1,,,,,#55 Tigger Li,
2017-05-20 12:15,3,2,0,0,0.879195,0.428218,#27 Daniel Zhang,1,,,,,#55 Tigger Li,
2017-05-20 12:16,3,3,0,1,0.422819,0.193069,#19 Ben Wang,1,,#19 Ben Wang,#14 Cecilia Wu,,,
2017-05-20 12:19,4,1,0,0,0.090604,0.488861,#22 Paul Simpson,1,,,,#22 Paul Simpson,,
2017-05-20 12:20,4,2,0,0,0.892617,0.804455,#55 Tigger Li,3,,,,#55 Tigger Li,#19 Ben Wang,
2017-05-20 12:21,4,3,0,0,0.885906,0.816832,#55 Tigger Li,1,,,,#55 Tigger Li,,
2017-05-20 12:22,4,4,0,0,0.0503356,0.80198,#22 Paul Simpson,1,,,,,#19 Ben Wang,
2017-05-20 12:22,4,5,0,0,0.348993,0.811881,#22 Paul Simpson,1,,,,#22 Paul Simpson,,
2017-05-20 12:23,4,6,0,0,0.57047,0.82302,#55 Tigger Li,1,,,,,#19 Ben Wang,
2017-05-20 12:24,4,7,0,0,0.607383,0.730198,#22 Paul Simpson,1,,,,#22 Paul Simpson,,
2017-05-20 12:27,4,8,0,0,0.265101,0.814356,#22 Paul Simpson,3,,,,#55 Tigger Li,,
2017-05-20 12:28,4,9,0,0,0.134228,0.766089,#22 Paul Simpson,3,,,,#22 Paul Simpson,,
2017-05-20 12:29,4,10,0,0,0.600671,0.711634,#22 Paul Simpson,1,,,,,#55 Tigger Li,
2017-05-20 12:29,4,11,0,0,0.503356,0.64604,#22 Paul Simpson,2,,,,,#19 Ben Wang,
2017-05-20 12:30,4,12,0,0,0.775168,0.491337,#22 Paul Simpson,2,,,,#55 Tigger Li,,
2017-05-20 12:31,4,13,0,0,0.238255,0.529703,#22 Paul Simpson,1,,,,#22 Paul Simpson,,
2017-05-20 12:32,4,14,0,0,0.0671141,0.580446,#22 Paul Simpson,3,,,,#22 Paul Simpson,,
2017-05-20 12:33,4,15,0,0,0.0939597,0.529703,#55 Tigger Li,2,,,,#7 Cici Qiu,,
2017-05-20 12:34,4,16,0,0,0.104027,0.514852,#22 Paul Simpson,4,,,,#55 Tigger Li,,
2017-05-20 12:35,4,17,0,0,0.144295,0.591584,#55 Tigger Li,2,,,,#22 Paul Simpson,,
2017-05-20 12:36,4,18,0,0,0.114094,0.554455,#55 Tigger Li,2,,,,#22 Paul Simpson,,
2017-05-20 12:39,4,19,0,0,0.755034,0.461634,#55 Tigger Li,2,,,,#22 Paul Simpson,,
2017-05-20 12:40,4,20,0,1,0.674497,0.435644,#55 Tigger Li,2,#55 Tigger Li,#22 Paul Simpson,#69 Justin Chen,,,
2017-05-20 12:44,5,1,0,0,0.167785,0.454208,#14 Cecilia Wu,1,,,,#14 Cecilia Wu,,
2017-05-20 12:44,5,2,0,1,0.305369,0.207921,#22 Paul Simpson,1,,#22 Paul Simpson,#27 Daniel Zhang,,,
2017-05-20 12:47,6,1,0,0,0.483221,0.556931,#27 Daniel Zhang,3,,,,,#28 Tina Zhu,
2017-05-20 12:47,6,2,0,0,0.909396,0.815594,#27 Daniel Zhang,1,,,,#27 Daniel Zhang,,
2017-05-20 12:48,6,3,0,0,0.64094,0.813119,#27 Daniel Zhang,1,,,,#27 Daniel Zhang,,
2017-05-20 12:50,7,1,1,0,0.288591,0.548267,#27 Daniel Zhang,4,,,,,#27 Daniel Zhang,
2017-05-20 12:51,7,2,1,0,0.5,0.542079,#27 Daniel Zhang,1,,,,#27 Daniel Zhang,,
2017-05-20 12:52,7,3,1,0,0.241611,0.539604,#14 Cecilia Wu,2,,,,#27 Daniel Zhang,,
2017-05-20 12:52,7,4,1,0,0.869128,0.711634,#27 Daniel Zhang,2,,,,#86 Ellis Tan,,
2017-05-20 12:54,7,5,1,0,0.721476,0.789604,#27 Daniel Zhang,1,,,,,#29 Tony Wu,
2017-05-20 12:54,7,6,1,0,0.231544,0.818069,#27 Daniel Zhang,1,,,,#27 Daniel Zhang,,
2017-05-20 12:57,8,1,1,0,0.47651,0.803218,#55 Tigger Li,3,,,,#55 Tigger Li,,
2017-05-20 12:57,8,2,1,0,0.889262,0.813119,#55 Tigger Li,2,,,,#69 Justin Chen,,
2017-05-20 12:58,8,3,1,0,0.708054,0.597772,#55 Tigger Li,2,,,,#22 Paul Simpson,,
2017-05-20 12:59,8,4,1,0,0.536913,0.466584,#55 Tigger Li,3,,,,#55 Tigger Li,,
