Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2017-03-11 11:32,1,1,1,0,0.0872483,0.451733,#22 Paul Simpson,4,,,,#69 Justin Chen,,
2017-03-11 11:33,1,2,1,1,0.761745,0.449257,#22 Paul Simpson,3,#27 Daniel Zhang,#22 Paul Simpson,#2 Jamie Chen,,,
2017-03-11 11:36,2,1,0,1,0.963087,0.360149,#22 Paul Simpson,1,,#22 Paul Simpson,#2 Jamie Chen,,,
2017-03-11 11:38,3,1,0,0,0.885906,0.57797,#22 Paul Simpson,2,,,,#14 Cecilia Wu,,
2017-03-11 11:38,3,2,0,1,0.315436,0.625,#1 Joyce Wang,5,#28 Tina Zhu,#69 Justin Chen,#22 Paul Simpson,,,
2017-03-11 11:41,4,1,0,0,0.197987,0.620049,#14 Cecilia Wu,2,,,,#69 Justin Chen,,
2017-03-11 11:42,4,2,0,0,0.630872,0.830446,#69 Justin Chen,2,,,,#27 Daniel Zhang,,
2017-03-11 11:45,5,1,1,0,0.661074,0.741337,#22 Paul Simpson,1,,,,,#1 Joyce Wang,
2017-03-11 11:45,5,2,1,0,0.946309,0.826733,#22 Paul Simpson,3,,,,,#76 Jack Xia,
2017-03-11 11:48,6,1,1,0,0.741611,0.660891,#22 Paul Simpson,5,,,,#14 Cecilia Wu,,
2017-03-11 11:49,6,2,1,1,0.812081,0.352723,#14 Cecilia Wu,2,#14 Cecilia Wu,#27 Daniel Zhang,#1 Joyce Wang,,,
2017-03-11 11:51,7,1,0,1,0.614094,0.283416,#22 Paul Simpson,3,#14 Cecilia Wu,#1 Joyce Wang,#27 Daniel Zhang,,,
2017-03-11 11:55,8,1,0,1,0.144295,0.372525,#22 Paul Simpson,1,,#22 Paul Simpson,#19 Ben Wang,,,
2017-03-11 11:57,9,1,0,1,0.57047,0.263614,#27 Daniel Zhang,1,,#27 Daniel Zhang,#2 Jamie Chen,,,
2017-03-11 11:59,10,1,0,1,0.057047,0.388614,#22 Paul Simpson,3,#76 Jack Xia,#22 Paul Simpson,#2 Jamie Chen,,,
2017-03-11 12:01,11,1,0,0,0.308725,0.434406,#22 Paul Simpson,1,,,,,#2 Jamie Chen,
2017-03-11 12:02,11,2,0,1,0.315436,0.258663,#22 Paul Simpson,1,,#22 Paul Simpson,#69 Justin Chen,,,
2017-03-11 12:04,12,1,0,0,0.718121,0.70297,#27 Daniel Zhang,4,,,,#19 Ben Wang,,
2017-03-11 12:05,12,2,0,0,0.147651,0.830446,#27 Daniel Zhang,1,,,,#27 Daniel Zhang,,
2017-03-11 12:08,13,1,1,0,0.439597,0.965347,#14 Cecilia Wu,4,,,,#14 Cecilia Wu,,
2017-03-11 12:10,14,1,1,0,0.949664,0.49505,#1 Joyce Wang,3,,,,#1 Joyce Wang,,
2017-03-11 12:12,14,2,1,1,0.791946,0.27104,#22 Paul Simpson,1,,#22 Paul Simpson,#14 Cecilia Wu,,,
2017-03-11 12:14,15,1,0,1,0.45302,0.490099,#14 Cecilia Wu,3,Oscar Yao,#22 Paul Simpson,#19 Ben Wang,,,
