Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2017-05-20 15:02,1,1,0,0,0.328859,0.320545,#27 Daniel Zhang,1,,,,#27 Daniel Zhang,,
2017-05-20 15:03,1,2,0,1,0.288591,0.502475,#22 Paul Simpson,6,#22 Paul Simpson,#14 Cecilia Wu,#1 Joyce Wang,,,
2017-05-20 15:06,2,1,0,0,0.724832,0.688119,#55 Tigger Li,1,,,,,#39 David Xiao,
2017-05-20 15:07,2,2,0,0,0.869128,0.532178,#55 Tigger Li,2,,,,#39 David Xiao,,
2017-05-20 15:07,2,3,0,0,0.872483,0.57302,#55 Tigger Li,1,,,,#55 Tigger Li,,
2017-05-20 15:08,2,4,0,0,0.288591,0.42698,#55 Tigger Li,3,,,,#55 Tigger Li,,
2017-05-20 15:09,2,5,0,0,0.711409,0.493812,#55 Tigger Li,3,,,,,#39 David Xiao,
2017-05-20 15:09,2,6,0,1,0.563758,0.237624,#55 Tigger Li,1,,#55 Tigger Li,#1 Joyce Wang,,,
2017-05-20 15:12,3,1,0,0,0.731544,0.477723,#7 Cici Qiu,2,,,,#22 Paul Simpson,,
2017-05-20 15:12,3,2,0,0,0.312081,0.215347,#27 Daniel Zhang,1,,,,#27 Daniel Zhang,,
2017-05-20 15:13,3,3,0,0,0.751678,0.230198,#14 Cecilia Wu,1,,,,#14 Cecilia Wu,,
2017-05-20 15:13,3,4,0,0,0.177852,0.433168,#22 Paul Simpson,2,,,,,#30 Jimmy Peng,
2017-05-20 15:14,3,5,0,1,0.402685,0.441832,#22 Paul Simpson,3,#27 Daniel Zhang,#22 Paul Simpson,#27 Daniel Zhang,,,
2017-05-20 15:18,4,1,0,0,0.590604,0.54703,#55 Tigger Li,1,,,,#55 Tigger Li,,
2017-05-20 15:18,4,2,0,0,0.738255,0.584158,#55 Tigger Li,1,,,,,#69 Justin Chen,
2017-05-20 15:19,4,3,0,0,0.147651,0.595297,#55 Tigger Li,1,,,,#55 Tigger Li,,
2017-05-20 15:20,4,4,0,0,0.184564,0.568069,#55 Tigger Li,3,,,,,#11 Momoka Goto,
2017-05-20 15:21,4,5,0,0,0.724832,0.449257,#55 Tigger Li,1,,,,#55 Tigger Li,,
2017-05-20 15:22,4,6,0,1,0.604027,0.304455,#1 Joyce Wang,1,,#1 Joyce Wang,#55 Tigger Li,,,
2017-05-20 15:25,5,1,0,0,0.493289,0.496287,Oscar Yao,2,,,,#27 Daniel Zhang,,
2017-05-20 15:25,5,2,0,1,0.127517,0.356436,#27 Daniel Zhang,1,,#27 Daniel Zhang,Oscar Yao,,,
2017-05-20 15:27,6,1,0,0,0.265101,0.563119,#1 Joyce Wang,4,,,,#69 Justin Chen,,
2017-05-20 15:29,6,2,0,0,0.161074,0.274752,#55 Tigger Li,1,,,,#55 Tigger Li,,
2017-05-20 15:30,6,3,0,1,0.416107,0.273515,#1 Joyce Wang,1,,#1 Joyce Wang,#69 Justin Chen,,,
2017-05-20 15:32,7,1,0,0,0.47651,0.248762,#27 Daniel Zhang,1,,,,#27 Daniel Zhang,,
2017-05-20 15:33,7,2,0,0,0.120805,0.475248,#27 Daniel Zhang,3,,,,#14 Cecilia Wu,,
2017-05-20 15:34,7,3,0,1,0.5,0.251238,#14 Cecilia Wu,1,,#14 Cecilia Wu,#39 David Xiao,,,
2017-05-20 15:36,8,1,0,0,0.755034,0.482673,#55 Tigger Li,3,,,,#55 Tigger Li,,
2017-05-20 15:37,8,2,0,1,0.385906,0.295792,#1 Joyce Wang,1,,#1 Joyce Wang,#19 Ben Wang,,,
2017-05-20 15:39,9,1,0,1,0.808725,0.313119,#27 Daniel Zhang,3,#22 Paul Simpson,#27 Daniel Zhang,#22 Paul Simpson,,,
2017-05-20 15:42,10,1,0,0,0.120805,0.502475,#69 Justin Chen,1,,,,#69 Justin Chen,,
2017-05-20 15:45,11,1,1,0,0.0771812,0.45297,#27 Daniel Zhang,1,,,,,#19 Ben Wang,
2017-05-20 15:46,11,2,1,1,0.130872,0.277228,#22 Paul Simpson,1,,#22 Paul Simpson,#1 Joyce Wang,,,
2017-05-20 15:48,12,1,0,0,0.530201,0.756188,#1 Joyce Wang,4,,,,#27 Daniel Zhang,,
2017-05-20 15:48,12,2,0,0,0.651007,0.761139,#22 Paul Simpson,8,,,,#14 Cecilia Wu,,
2017-05-20 15:49,12,3,0,0,0.234899,0.439356,#22 Paul Simpson,1,,,,#22 Paul Simpson,,
