Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2017-05-20 10:03,1,1,0,1,0.704698,0.45297,#55 Tigger Li,3,#1 Joyce Wang,#55 Tigger Li,#19 Ben Wang,,,
2017-05-20 10:06,2,1,0,0,0.956376,0.256188,#22 Paul Simpson,1,,,,,#39 David Xiao,
2017-05-20 10:07,2,2,0,1,0.104027,0.25,#22 Paul Simpson,1,,#22 Paul Simpson,#14 Cecilia Wu,,,
2017-05-20 10:10,3,1,0,0,0.0704698,0.451733,#55 Tigger Li,1,,,,#55 Tigger Li,,
2017-05-20 10:11,3,2,0,0,0.090604,0.334158,#55 Tigger Li,1,,,,#55 Tigger Li,,
2017-05-20 10:11,3,3,0,0,0.107383,0.569307,#55 Tigger Li,1,,,,#55 Tigger Li,,
2017-05-20 10:12,3,4,0,0,0.191275,0.584158,#55 Tigger Li,1,,,,,#7 Cici Qiu,
2017-05-20 10:14,3,5,0,0,0.0872483,0.544554,#55 Tigger Li,2,,,,#69 Justin Chen,,
2017-05-20 10:16,3,6,0,0,0.0637584,0.816832,#55 Tigger Li,1,,,,,#69 Justin Chen,
2017-05-20 10:22,4,1,1,0,0.244966,0.681931,#27 Daniel Zhang,8,,,,#27 Daniel Zhang,,
2017-05-20 10:23,4,2,1,1,0.177852,0.241337,#27 Daniel Zhang,1,,#27 Daniel Zhang,#22 Paul Simpson,,,
2017-05-20 10:26,5,1,0,0,0.852349,0.35396,#27 Daniel Zhang,6,,,,#22 Paul Simpson,,
2017-05-20 10:27,5,2,0,1,0.758389,0.600248,#22 Paul Simpson,3,#27 Daniel Zhang,#22 Paul Simpson,#39 David Xiao,,,
2017-05-20 10:30,6,1,0,0,0.137584,0.471535,#27 Daniel Zhang,1,,,,#27 Daniel Zhang,,
2017-05-20 10:31,6,2,0,0,0.167785,0.319307,#27 Daniel Zhang,4,,,,#27 Daniel Zhang,,
2017-05-20 10:33,6,3,0,0,0.761745,0.844059,#55 Tigger Li,2,,,,#27 Daniel Zhang,,
2017-05-20 10:34,6,4,0,0,0.0838926,0.814356,#55 Tigger Li,5,,,,#55 Tigger Li,,
2017-05-20 10:35,6,5,0,0,0.355705,0.543317,#27 Daniel Zhang,2,,,,,#11 Momoka Goto,
2017-05-20 10:36,6,6,0,0,0.110738,0.652228,#27 Daniel Zhang,5,,,,#14 Cecilia Wu,,
2017-05-20 10:37,6,7,0,0,0.308725,0.804455,#27 Daniel Zhang,5,,,,,#86 Ellis Tan,
2017-05-20 10:39,7,1,1,0,0.0872483,0.485149,#22 Paul Simpson,3,,,,#1 Joyce Wang,,
2017-05-20 10:41,7,2,1,0,0.607383,0.556931,#22 Paul Simpson,3,,,,,#29 Tony Wu,
2017-05-20 10:42,7,3,1,0,0.201342,0.288366,#22 Paul Simpson,1,,,,,#14 Cecilia Wu,
2017-05-20 10:43,7,4,1,0,0.768456,0.568069,#22 Paul Simpson,1,,,,,#69 Justin Chen,
2017-05-20 10:44,7,5,1,0,0.244966,0.64604,#22 Paul Simpson,6,,,,#22 Paul Simpson,,
2017-05-20 10:46,7,6,1,0,0.0436242,0.752475,#22 Paul Simpson,2,,,,#14 Cecilia Wu,,
2017-05-20 10:49,8,1,1,0,0.802013,0.556931,#27 Daniel Zhang,5,,,,#69 Justin Chen,,
2017-05-20 10:50,8,2,1,0,0.244966,0.592822,#22 Paul Simpson,6,,,,#14 Cecilia Wu,,
2017-05-20 10:53,9,1,1,0,0.691275,0.518564,#55 Tigger Li,1,,,,#55 Tigger Li,,
2017-05-20 10:56,9,2,1,0,0.802013,0.740099,#55 Tigger Li,1,,,,#55 Tigger Li,,
