Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2017-04-08 10:01,1,1,1,0,0.0033557,0.816832,#27 Daniel Zhang,3,,,,#27 Daniel Zhang,,
2017-04-08 10:02,1,2,1,0,0.681208,0.455446,#27 Daniel Zhang,1,,,,,#55 Tigger Li,
2017-04-08 10:02,1,3,1,1,0.184564,0.320545,#27 Daniel Zhang,1,,#27 Daniel Zhang,#19 Ben Wang,,,
2017-04-08 10:05,3,1,1,0,0.442953,0.763614,#55 Tigger Li,5,,,,#55 Tigger Li,,
2017-04-08 10:06,3,2,1,0,0.466443,0.813119,#27 Daniel Zhang,3,,,,#55 Tigger Li,,
2017-04-08 10:07,3,3,1,1,0.104027,0.655941,#55 Tigger Li,4,#1 Joyce Wang,#14 Cecilia Wu,#19 Ben Wang,,,
2017-04-08 10:10,4,1,0,0,0.892617,0.627475,#27 Daniel Zhang,1,,,,,#41 Billy Ni,
2017-04-08 10:11,4,2,0,0,0.781879,0.818069,#27 Daniel Zhang,2,,,,Oscar Yao,,
2017-04-08 10:11,4,3,0,0,0.0805369,0.846535,#1 Joyce Wang,4,,,,#14 Cecilia Wu,,
2017-04-08 10:12,4,4,0,1,0.16443,0.18,#27 Daniel Zhang,1,,#27 Daniel Zhang,#14 Cecilia Wu,,,
2017-04-08 10:14,5,1,0,1,0.221477,0.216584,#27 Daniel Zhang,1,,#27 Daniel Zhang,Oscar Yao,,,
2017-04-08 10:16,6,1,0,0,0.936242,0.548267,#27 Daniel Zhang,2,,,,#14 Cecilia Wu,,
2017-04-08 10:16,6,2,0,1,0.147651,0.511139,#27 Daniel Zhang,1,,#27 Daniel Zhang,Oscar Yao,,,
2017-04-08 10:18,7,1,0,0,0.275168,0.642327,#19 Ben Wang,3,,,,Oscar Yao,,
2017-04-08 10:19,7,2,0,0,0.124161,0.274752,#14 Cecilia Wu,3,,,,#14 Cecilia Wu,,
2017-04-08 10:19,7,3,0,0,0.469799,0.675743,#27 Daniel Zhang,3,,,,#27 Daniel Zhang,,
2017-04-08 10:20,7,4,0,1,0.214765,0.352723,#27 Daniel Zhang,1,,#27 Daniel Zhang,#19 Ben Wang,,,
2017-04-08 10:22,8,1,0,1,0.845638,0.358911,#27 Daniel Zhang,1,,#27 Daniel Zhang,#41 Billy Ni,,,
2017-04-08 10:28,9,1,0,1,0.550336,0.54703,#55 Tigger Li,3,#41 Billy Ni,#55 Tigger Li,#30 Jimmy Peng,,,
2017-04-08 10:30,10,1,0,1,0.533557,0.49505,#27 Daniel Zhang,4,#27 Daniel Zhang,#41 Billy Ni,#30 Jimmy Peng,,,
2017-04-08 10:33,11,1,0,1,0.778524,0.438119,#27 Daniel Zhang,2,#27 Daniel Zhang,#19 Ben Wang,Oscar Yao,,,
2017-04-08 10:35,12,1,0,1,0.090604,0.756188,#27 Daniel Zhang,3,#66 Jerry Chen,#27 Daniel Zhang,#19 Ben Wang,,,
2017-04-08 10:37,13,1,0,0,0.302013,0.230198,#27 Daniel Zhang,1,,,,,Oscar Yao,
2017-04-08 10:38,13,2,0,0,0.144295,0.449257,#27 Daniel Zhang,1,,,,#27 Daniel Zhang,,
2017-04-08 10:38,13,3,0,1,0.838926,0.253713,#1 Joyce Wang,2,#1 Joyce Wang,#27 Daniel Zhang,#19 Ben Wang,,,
2017-04-08 10:41,14,1,0,0,0.526846,0.483911,#1 Joyce Wang,4,,,,,#28 Tina Zhu,
2017-04-08 10:42,14,2,0,0,0.778524,0.35396,#27 Daniel Zhang,1,,,,#27 Daniel Zhang,,
2017-04-08 10:42,14,3,0,1,0.828859,0.398515,#27 Daniel Zhang,1,,#27 Daniel Zhang,#19 Ben Wang,,,
