Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2017-03-03 15:55,1,1,1,0,0.563758,0.644802,#27 Daniel Zhang,1,,,,#27 Daniel Zhang,,
2017-03-03 15:55,1,2,1,1,0.332215,0.704208,#27 Daniel Zhang,3,#22 Paul Simpson,#55 Tigger Li,#11 Momoka Goto,,,
2017-03-03 15:59,3,1,1,0,0.533557,0.542079,#22 Paul Simpson,2,,,,,#14 Cecilia Wu,
2017-03-03 16:00,3,2,1,1,0.563758,0.29703,#55 Tigger Li,2,#55 Tigger Li,#22 Paul Simpson,Khloris Liu,,,
2017-03-03 16:02,4,1,0,0,0.104027,0.638614,#55 Tigger Li,1,,,,#55 Tigger Li,,
2017-03-03 16:03,4,2,0,0,0.778524,0.451733,#55 Tigger Li,1,,,,,#14 Cecilia Wu,
2017-03-03 16:03,4,3,0,1,0.795302,0.741337,#55 Tigger Li,3,#27 Daniel Zhang,#55 Tigger Li,#69 Justin Chen,,,
2017-03-03 16:06,5,1,0,1,0.184564,0.493812,#22 Paul Simpson,1,,#22 Paul Simpson,#27 Daniel Zhang,,,
2017-03-03 16:08,6,1,0,0,0.0302013,0.523515,#22 Paul Simpson,1,,,,#22 Paul Simpson,,
2017-03-03 16:09,6,2,0,1,0.295302,0.205446,#55 Tigger Li,1,,#55 Tigger Li,#22 Paul Simpson,,,
2017-03-03 16:11,7,1,0,1,0.530201,0.214109,#55 Tigger Li,1,,#55 Tigger Li,#22 Paul Simpson,,,
2017-03-03 16:12,8,1,0,0,0.510067,0.315594,#22 Paul Simpson,2,,,,#76 Jack Xia,,
2017-03-03 16:13,8,2,0,1,0.711409,0.292079,#14 Cecilia Wu,1,,#14 Cecilia Wu,#1 Joyce Wang,,,
2017-03-03 16:22,10,1,1,0,0.516779,0.648515,#22 Paul Simpson,2,,,,#66 Jerry Chen,,
2017-03-03 16:24,10,2,1,0,0.825503,0.824257,#22 Paul Simpson,1,,,,#22 Paul Simpson,,
2017-03-03 16:26,11,1,1,1,0.459732,0.564356,#55 Tigger Li,3,#41 Billy Ni,#22 Paul Simpson,#11 Momoka Goto,,,
2017-03-03 16:29,12,1,0,0,0.674497,0.805693,#55 Tigger Li,3,,,,#55 Tigger Li,,
2017-03-03 16:30,12,2,0,1,0.0369128,0.366337,#14 Cecilia Wu,2,#14 Cecilia Wu,#55 Tigger Li,#27 Daniel Zhang,,,
2017-03-03 16:34,13,1,0,0,0.0402685,0.559406,#22 Paul Simpson,3,,,,#22 Paul Simpson,,
2017-03-03 16:34,13,2,0,1,0.0201342,0.412129,#22 Paul Simpson,5,#1 Joyce Wang,#22 Paul Simpson,#11 Momoka Goto,,,
2017-03-03 16:39,15,1,1,0,0.969799,0.726485,#22 Paul Simpson,2,,,,#1 Joyce Wang,,
2017-03-03 16:40,15,2,1,0,0.503356,0.488861,#22 Paul Simpson,1,,,,#22 Paul Simpson,,
2017-03-03 16:41,15,3,1,0,0.936242,0.712871,#22 Paul Simpson,2,,,,#11 Momoka Goto,,
2017-03-03 16:41,15,4,1,0,0.295302,0.837871,#22 Paul Simpson,11,,,,#22 Paul Simpson,,
2017-03-03 16:43,15,5,1,1,0.765101,0.470297,#22 Paul Simpson,1,,#22 Paul Simpson,#41 Billy Ni,,,
2017-03-03 16:45,16,1,0,0,0.0973154,0.405941,#55 Tigger Li,1,,,,#55 Tigger Li,,
2017-03-03 16:46,16,2,0,1,0.0369128,0.480198,#55 Tigger Li,1,,#55 Tigger Li,#27 Daniel Zhang,,,
2017-03-03 16:48,17,1,0,0,0.734899,0.40099,#22 Paul Simpson,3,,,,#1 Joyce Wang,,
2017-03-03 16:49,17,2,0,0,0.805369,0.335396,#55 Tigger Li,1,,,,#55 Tigger Li,,
2017-03-03 16:51,17,3,0,1,0.291946,0.330446,#55 Tigger Li,1,,#55 Tigger Li,#22 Paul Simpson,,,
