Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2017-04-08 13:32,1,1,1,0,0.563758,0.658416,#27 Daniel Zhang,1,,,,#27 Daniel Zhang,,
2017-04-08 13:33,1,2,1,0,0.288591,0.834158,#14 Cecilia Wu,5,,,,#27 Daniel Zhang,,
2017-04-08 13:35,1,3,1,1,0.214765,0.44802,#14 Cecilia Wu,3,#27 Daniel Zhang,#55 Tigger Li,Oscar Yao,,,
2017-04-08 13:37,2,1,0,0,0.285235,0.84901,#55 Tigger Li,1,,,,,#66 Jerry Chen,
2017-04-08 13:39,3,1,1,0,0.869128,0.67698,#27 Daniel Zhang,4,,,,,,
2017-04-08 13:40,3,2,1,0,0.899329,0.788366,#27 Daniel Zhang,2,,,,#55 Tigger Li,,
2017-04-08 13:41,3,3,1,0,0.268456,0.741337,#14 Cecilia Wu,2,,,,#55 Tigger Li,,
2017-04-08 13:42,3,4,1,1,0.845638,0.324257,#27 Daniel Zhang,1,,#27 Daniel Zhang,#55 Tigger Li,,,
2017-04-08 13:44,4,1,0,1,0.0503356,0.273515,#55 Tigger Li,1,,#55 Tigger Li,#14 Cecilia Wu,,,
2017-04-08 13:48,6,1,1,0,0.489933,0.660891,#27 Daniel Zhang,5,,,,#27 Daniel Zhang,,
2017-04-08 13:49,6,2,1,1,0.194631,0.502475,#27 Daniel Zhang,1,,#27 Daniel Zhang,#55 Tigger Li,,,
2017-04-08 13:52,7,1,0,0,0.510067,0.826733,#27 Daniel Zhang,6,,,,#27 Daniel Zhang,,
2017-04-08 13:53,7,2,0,1,0.174497,0.247525,#27 Daniel Zhang,1,,#27 Daniel Zhang,Oscar Yao,,,
2017-04-08 13:58,8,1,0,1,0.489933,0.830446,#27 Daniel Zhang,5,#41 Billy Ni,#27 Daniel Zhang,#66 Jerry Chen,,,
2017-04-08 14:03,10,1,1,0,0.449664,0.90099,#27 Daniel Zhang,2,,,,,#27 Daniel Zhang,
2017-04-08 14:06,11,1,1,0,0.721476,0.834158,#27 Daniel Zhang,1,,,,#27 Daniel Zhang,,
2017-04-08 14:06,11,2,1,0,0.647651,0.811881,#27 Daniel Zhang,8,,,,Melody Zheng,,
2017-04-08 14:08,11,3,1,0,0.104027,0.493812,#27 Daniel Zhang,4,,,,#1 Joyce Wang,,
2017-04-08 14:11,12,1,1,1,0.473154,0.633663,#27 Daniel Zhang,3,Oscar Yao,#27 Daniel Zhang,#55 Tigger Li,,,
2017-04-08 14:17,14,1,1,0,0.456376,0.659653,#27 Daniel Zhang,2,,,,,#14 Cecilia Wu,
2017-04-08 14:20,15,1,1,0,0.510067,0.647277,#27 Daniel Zhang,1,,,,#27 Daniel Zhang,,
2017-04-08 14:22,15,2,1,0,0.0704698,0.793317,#14 Cecilia Wu,2,,,,#55 Tigger Li,,
2017-04-08 14:23,15,3,1,0,0.332215,0.800743,#14 Cecilia Wu,8,,,,,#28 Tina Zhu,
2017-04-08 14:25,15,4,1,0,0.0838926,0.423267,#55 Tigger Li,2,,,,#27 Daniel Zhang,,
2017-04-08 14:27,15,5,1,0,0.258389,0.840347,#27 Daniel Zhang,4,,,,#55 Tigger Li,,
