Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2017-03-24 16:15,1,1,1,0,0.520134,0.663366,#27 Daniel Zhang,4,,,,#22 Paul Simpson,,
2017-03-24 16:16,1,2,1,0,0.815436,0.582921,#22 Paul Simpson,4,,,,#22 Paul Simpson,,
2017-03-24 16:17,1,3,1,0,0.899329,0.579208,#22 Paul Simpson,2,,,,#14 Cecilia Wu,,
2017-03-24 16:17,1,4,1,1,0.755034,0.466584,#55 Tigger Li,1,,#55 Tigger Li,#22 Paul Simpson,,,
2017-03-24 16:20,2,1,0,0,0.822148,0.798267,#22 Paul Simpson,5,,,,#27 Daniel Zhang,,
2017-03-24 16:20,2,2,0,0,0.372483,0.308168,#55 Tigger Li,1,,,,,#41 Billy Ni,
2017-03-24 16:21,2,3,0,0,0.496644,0.295792,#55 Tigger Li,1,,,,#55 Tigger Li,,
2017-03-24 16:22,2,4,0,0,0.795302,0.542079,#55 Tigger Li,1,,,,#55 Tigger Li,,
2017-03-24 16:23,2,5,0,1,0.620805,0.456683,#22 Paul Simpson,2,#22 Paul Simpson,#41 Billy Ni,#55 Tigger Li,,,
2017-03-24 16:26,3,1,0,0,0.295302,0.277228,#55 Tigger Li,1,,,,#55 Tigger Li,,
2017-03-24 16:27,3,2,0,0,0.899329,0.367574,#55 Tigger Li,1,,,,#55 Tigger Li,,
2017-03-24 16:27,3,3,0,0,0.899329,0.441832,#22 Paul Simpson,1,,,,#22 Paul Simpson,,
2017-03-24 16:28,3,4,0,0,0.560403,0.288366,#55 Tigger Li,1,,,,#55 Tigger Li,,
2017-03-24 16:29,3,5,0,0,0.540268,0.315594,#55 Tigger Li,2,,,,#22 Paul Simpson,,
2017-03-24 16:29,3,6,0,0,0.0973154,0.306931,#55 Tigger Li,1,,,,#55 Tigger Li,,
2017-03-24 16:31,3,7,0,0,0.107383,0.287129,#27 Daniel Zhang,1,,,,#27 Daniel Zhang,,
2017-03-24 16:32,3,8,0,0,0.0704698,0.393564,#27 Daniel Zhang,2,,,,,#1 Joyce Wang,
2017-03-24 16:32,3,9,0,0,0.318792,0.82302,#27 Daniel Zhang,1,,,,,#29 Tony Wu,
2017-03-24 16:35,4,1,1,0,0.184564,0.732673,#22 Paul Simpson,3,,,,#1 Joyce Wang,,
2017-03-24 16:35,4,2,1,0,0.442953,0.899752,#22 Paul Simpson,5,,,,,#19 Ben Wang,
2017-03-24 16:36,4,3,1,0,0.919463,0.751238,#27 Daniel Zhang,2,,,,#22 Paul Simpson,,
2017-03-24 16:36,4,4,1,0,0.167785,0.860148,#14 Cecilia Wu,9,,,,#22 Paul Simpson,,
2017-03-24 16:37,4,5,1,0,0.95302,0.815594,#22 Paul Simpson,5,,,,,#19 Ben Wang,
2017-03-24 16:38,4,6,1,0,0.926175,0.714109,#1 Joyce Wang,3,,,,#66 Jerry Chen,,
2017-03-24 16:39,4,7,1,0,0.114094,0.397277,#1 Joyce Wang,2,,,,#27 Daniel Zhang,,
2017-03-24 16:39,4,8,1,0,0.130872,0.283416,#14 Cecilia Wu,1,,,,#14 Cecilia Wu,,
2017-03-24 16:40,4,9,1,0,0.0939597,0.443069,#14 Cecilia Wu,6,,,,#27 Daniel Zhang,,
2017-03-24 16:42,4,10,1,1,0.936242,0.731436,#22 Paul Simpson,3,#14 Cecilia Wu,#22 Paul Simpson,#27 Daniel Zhang,,,
2017-03-24 16:45,5,1,0,0,0.550336,0.565594,#14 Cecilia Wu,2,,,,#55 Tigger Li,,
2017-03-24 16:46,5,2,0,1,0.711409,0.810644,#22 Paul Simpson,6,#76 Jack Xia,#22 Paul Simpson,#27 Daniel Zhang,,,
2017-03-24 16:49,6,1,0,0,0.748322,0.350248,#14 Cecilia Wu,4,,,,#27 Daniel Zhang,,
2017-03-24 16:50,6,2,0,0,0.0436242,0.268564,#22 Paul Simpson,1,,,,#22 Paul Simpson,,
2017-03-24 16:50,6,3,0,0,0.560403,0.756188,#22 Paul Simpson,3,,,,,#22 Paul Simpson,
2017-03-24 16:51,6,4,0,1,0.671141,0.314356,#55 Tigger Li,1,,#55 Tigger Li,#27 Daniel Zhang,,,
2017-03-24 16:54,7,1,0,0,0.124161,0.778465,#27 Daniel Zhang,4,,,,Tony Ma,,
2017-03-24 16:54,7,2,0,0,0.614094,0.413366,#27 Daniel Zhang,3,,,,#1 Joyce Wang,,
2017-03-24 16:56,7,3,0,0,0.57047,0.845297,#27 Daniel Zhang,1,,,,#27 Daniel Zhang,,
2017-03-24 16:56,7,4,0,0,0.647651,0.415842,#22 Paul Simpson,1,,,,,Tony Ma,
2017-03-24 16:57,7,5,0,1,0.775168,0.628713,#27 Daniel Zhang,5,#27 Daniel Zhang,#22 Paul Simpson,#27 Daniel Zhang,,,
2017-03-24 17:00,8,1,0,0,0.234899,0.40099,#14 Cecilia Wu,5,,,,#27 Daniel Zhang,,
2017-03-24 17:01,8,2,0,1,0.144295,0.300743,#27 Daniel Zhang,1,,#27 Daniel Zhang,#55 Tigger Li,,,
2017-03-24 17:09,9,1,0,0,0.543624,0.667079,#1 Joyce Wang,2,,,,#22 Paul Simpson,,
2017-03-24 17:11,9,2,0,1,0.442953,0.309406,#22 Paul Simpson,3,#55 Tigger Li,#22 Paul Simpson,#55 Tigger Li,,,
2017-03-24 17:14,10,1,0,0,0.66443,0.503713,#22 Paul Simpson,1,,,,#22 Paul Simpson,,
2017-03-24 17:14,10,2,0,0,0.791946,0.277228,#22 Paul Simpson,1,,,,,#76 Jack Xia,
2017-03-24 17:15,10,3,0,0,0.201342,0.82302,#27 Daniel Zhang,2,,,,#22 Paul Simpson,,
2017-03-24 17:16,10,4,0,0,0.369128,0.852723,#27 Daniel Zhang,1,,,,#27 Daniel Zhang,,
2017-03-24 17:17,10,5,0,0,0.124161,0.835396,#14 Cecilia Wu,6,,,,#27 Daniel Zhang,,
2017-03-24 17:19,10,6,0,0,0.328859,0.289604,#22 Paul Simpson,1,,,,,#19 Ben Wang,
2017-03-24 17:19,10,7,0,1,0.446309,0.477723,#22 Paul Simpson,1,,#22 Paul Simpson,#19 Ben Wang,,,
2017-03-24 17:22,11,1,0,0,0.322148,0.32302,#22 Paul Simpson,2,,,,#76 Jack Xia,,
2017-03-24 17:23,11,2,0,0,0.0268456,0.497525,#22 Paul Simpson,3,,,,,#52 Emily Zhang,
2017-03-24 17:23,11,3,0,0,0.261745,0.258663,#22 Paul Simpson,1,,,,#22 Paul Simpson,,
2017-03-24 17:25,11,4,0,0,0.483221,0.456683,#22 Paul Simpson,2,,,,#76 Jack Xia,,
2017-03-24 17:26,11,5,0,0,0.708054,0.825495,#27 Daniel Zhang,2,,,,#22 Paul Simpson,,
2017-03-24 17:28,12,1,1,0,0.466443,0.754951,#22 Paul Simpson,5,,,,,#19 Ben Wang,
2017-03-24 17:29,12,2,1,1,0.271812,0.714109,#22 Paul Simpson,3,#14 Cecilia Wu,#22 Paul Simpson,#27 Daniel Zhang,,,
2017-03-24 17:31,13,1,0,1,0.540268,0.503713,#22 Paul Simpson,3,#27 Daniel Zhang,#22 Paul Simpson,Tony Ma,,,
2017-03-24 17:34,14,1,0,1,0.815436,0.289604,#1 Joyce Wang,2,#1 Joyce Wang,#22 Paul Simpson,#76 Jack Xia,,,
2017-03-24 17:38,15,1,0,0,0.147651,0.657178,#22 Paul Simpson,3,,,,#22 Paul Simpson,,
2017-03-24 17:40,16,1,1,0,0.47651,0.683168,#22 Paul Simpson,7,,,,#1 Joyce Wang,,
2017-03-24 17:40,16,2,1,0,0.97651,0.845297,#22 Paul Simpson,1,,,,#22 Paul Simpson,,
2017-03-24 17:44,17,1,1,0,0.456376,0.72401,#22 Paul Simpson,5,,,,#22 Paul Simpson,,
2017-03-24 17:44,17,2,1,0,0.0436242,0.472772,#22 Paul Simpson,1,,,,#22 Paul Simpson,,
2017-03-24 17:45,17,3,1,1,0.278524,0.424505,#22 Paul Simpson,1,,#22 Paul Simpson,#19 Ben Wang,,,
