Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2017-02-24 16:17,1,#22 Paul Simpson,0,0,0,0,0.412752,0.701733
2017-02-24 16:21,2,Tigger,0,0,0,0,0.0503356,0.636139
2017-02-24 16:40,7,#22 Paul Simpson,0,0,0,0,0.587248,0.502475
2017-02-24 16:41,7,#69 Justin Chen,0,0,0,0,0.590604,0.730198
2017-02-24 16:42,7,Tigger,0,0,0,0,0.395973,0.689356
2017-02-24 16:43,7,Cecilia Wu,0,0,0,0,0.895973,0.487624
2017-02-24 16:51,9,#22 Paul Simpson,1,0,0,0,0.59396,0.825495
2017-02-24 16:55,11,#69 Justin Chen,1,0,0,0,0.177852,0.852723
2017-02-24 17:05,11,#22 Paul Simpson,0,0,0,0,0.308725,0.514852
2017-02-24 17:12,12,Cecilia Wu,0,0,0,0,0.100671,0.433168
2017-02-24 17:14,13,#27 Daniel Zhang,1,0,0,0,0.493289,0.845297
2017-02-24 17:15,13,Cecilia Wu,0,0,0,0,0.463087,0.792079
2017-02-24 17:16,13,Cecilia Wu,0,0,0,0,0.127517,0.612624
2017-02-24 17:18,14,Tigger,0,0,0,0,0.231544,0.339109
2017-02-24 17:21,15,#22 Paul Simpson,0,0,0,0,0.533557,0.490099
2017-02-24 17:24,16,Joyce Wang,0,0,0,0,0.47651,0.774752
