Player,Points played total,Points played,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Average completed throw distance (m),Average completed throw gain (m),Average incomplete throw distance (m),Average incomplete throw gain (m),Average caught pass distance (m),Average caught pass gain (m)
#22 Paul Simpson,13,"1,2,3,5,6,7,8,9,10,11,13,14,15",22,12,21,9,13,7,0,1,0,0,0,2,0,0,18.91,13.23,18.79,17.90,13.78,9.23
Cecilia Wu,12,"1,2,3,4,5,6,7,9,12,13,14,15",10,7,9,6,4,0,2,1,3,3,0,0,0,0,14.65,9.67,15.75,11.34,13.12,6.54
Joyce Wang,11,"1,2,3,4,5,6,7,8,13,14,15",8,5,7,6,2,1,0,1,2,1,1,1,0,0,12.65,7.80,30.17,25.50,12.12,8.33
#69 Justin Chen,11,"1,2,3,4,5,6,7,10,11,13,14",6,5,5,5,1,1,0,1,2,2,0,0,0,0,17.10,14.23,30.34,30.20,18.35,15.74
#27 Daniel Zhang,9,"1,2,4,6,7,8,9,12,15",9,6,8,6,3,2,1,1,2,2,0,1,0,0,17.83,15.41,22.16,20.54,15.97,8.04
Jamie Chen,8,"1,2,6,7,9,10,11,15",4,4,0,4,0,0,0,4,1,0,1,1,0,0,0.00,0.00,0.00,0.00,30.25,24.63
Melody Zheng,6,"1,2,6,10,11,12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#66 Jerry Chen,6,"3,7,11,12,13,14",1,1,1,1,0,0,0,0,0,0,0,0,0,0,12.33,12.25,0.00,0.00,11.77,11.76
#41 Billy Ni,5,"4,8,9,13,14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
Alex Chen,5,"5,9,10,13,14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#19 Ben Wang,4,"3,8,12,15",3,3,1,3,0,0,0,2,1,1,0,0,0,0,0.00,0.00,26.16,17.45,27.52,24.96
Oscar Yao,4,"4,8,12,15",1,1,1,1,0,0,1,0,0,0,0,2,0,0,23.71,21.41,0.00,0.00,11.22,5.45
Jack Xia,4,"5,10,11,12",2,2,2,2,0,0,1,0,1,0,1,0,0,0,7.36,-3.77,0.00,0.00,12.04,11.26
Tina Zhu,4,"3,8,10,11",1,1,1,1,0,0,1,0,0,0,0,0,0,0,13.23,13.00,0.00,0.00,12.63,4.83
Theresa Zhang,2,"4,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
Julie Luo,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
